K 18F 18.2F 18.4F 18.6F 18.8F 19F 19.2F 19.4F 19.6F 19.8F 20F 20.2F 20.4F 20.6F 20.8F 21F 21.2F 21.4F 21.6F 21.8F 22F 22.2F 22.4F 22.6F 22.8F 23F 23.2F 23.4F 23.6F 23.8F 24F 24.2F 24.4F 24.6F 24.8F 25F 25.2F 25.4F 25.6F 25.8F 26F 26.2F 26.4F 26.6F 26.8F 27F 27.2F 
0.961924 0.942692 0.947454 0.952628 0.95825 0.964355 0.970977 0.978147 0.985889 0.994216 0.999974 0.992258 0.971094 0.935955 0.885911 0.820089 0.73798 0.639745 0.526512 0.400704 0.266377 0.129869 0.0101308 0.0780026 0.218454 0.354454 0.483847 0.601884 0.705609 0.793465 0.864989 0.920467 0.960687 0.986584 0.998885 0.997122 0.988585 0.980635 0.973264 0.966452 0.960169 0.954383 0.949058 0.944159 0.93965 0.935499 0.931675 0.928148 
1.04208 0.937928 0.943043 0.948606 0.954655 0.961231 0.968372 0.976112 0.984481 0.993494 1 0.993078 0.972715 0.93834 0.888967 0.823661 0.74185 0.643639 0.530119 0.403711 0.26851 0.130952 0.0102166 0.0786585 0.220233 0.357182 0.487278 0.605712 0.709518 0.797166 0.868241 0.923093 0.962574 0.987675 0.999174 0.996643 0.987399 0.978801 0.970841 0.963492 0.956722 0.950494 0.944767 0.939502 0.934662 0.930208 0.926107 0.922328 
1.12224 0.933163 0.938625 0.94457 0.951041 0.958082 0.965735 0.974042 0.983033 0.99273 0.999984 0.993858 0.974303 0.940701 0.892011 0.827236 0.745736 0.64756 0.53376 0.406751 0.27067 0.13205 0.0103037 0.0793233 0.222034 0.359941 0.490742 0.60957 0.713448 0.800873 0.871486 0.9257 0.964431 0.98873 0.999423 0.996122 0.986172 0.976931 0.968385 0.960505 0.953254 0.94659 0.940468 0.934845 0.929678 0.924929 0.920558 0.916533 
1.2024 0.928399 0.934202 0.940522 0.947408 0.954907 0.963068 0.971934 0.981544 0.991923 0.999924 0.994598 0.975857 0.943038 0.895043 0.830811 0.749637 0.651507 0.537434 0.409824 0.272856 0.133162 0.0103919 0.0799971 0.223859 0.362732 0.494241 0.613458 0.717396 0.804587 0.874723 0.928286 0.966257 0.989745 0.999628 0.995558 0.984903 0.975022 0.965896 0.957491 0.949765 0.942671 0.936161 0.930186 0.9247 0.919661 0.915027 0.910761 
1.28257 0.923636 0.929772 0.936461 0.943754 0.951706 0.960368 0.96979 0.980015 0.991072 0.99982 0.995296 0.977375 0.945347 0.89806 0.834386 0.753552 0.65548 0.54114 0.41293 0.27507 0.134289 0.0104813 0.0806799 0.225707 0.365555 0.497773 0.617373 0.721363 0.808304 0.877951 0.930849 0.968049 0.990721 0.99979 0.99495 0.983592 0.973075 0.963373 0.954448 0.946254 0.938737 0.931845 0.925525 0.919727 0.914404 0.909513 0.905014 
1.36273 0.918873 0.925336 0.932387 0.940082 0.948479 0.957636 0.967608 0.978443 0.990176 0.99967 0.99595 0.978855 0.947628 0.901061 0.837959 0.757479 0.659478 0.544878 0.41607 0.27731 0.13543 0.010572 0.0813718 0.227578 0.36841 0.501339 0.621317 0.725347 0.812026 0.881166 0.933387 0.969807 0.991654 0.999906 0.994296 0.982239 0.971088 0.960816 0.951378 0.942721 0.934788 0.927521 0.920862 0.914759 0.909159 0.904017 0.89929 
1.44289 0.914111 0.920894 0.928299 0.936389 0.945225 0.954872 0.965388 0.976829 0.989234 0.999473 0.99656 0.980295 0.949879 0.904044 0.841529 0.761417 0.663498 0.548648 0.419242 0.279577 0.136587 0.0106638 0.0820728 0.229473 0.371296 0.504937 0.625288 0.729346 0.815748 0.884369 0.9359 0.971528 0.992545 0.999977 0.993597 0.980842 0.969063 0.958225 0.948279 0.939167 0.930824 0.923188 0.916198 0.909796 0.903926 0.898539 0.893589 
1.52305 0.909349 0.916445 0.924199 0.932677 0.941946 0.952075 0.96313 0.975172 0.988247 0.999229 0.997124 0.981696 0.952098 0.907007 0.845093 0.765364 0.667542 0.55245 0.422447 0.281872 0.137758 0.0107569 0.082783 0.23139 0.374214 0.508568 0.629285 0.733361 0.819471 0.887558 0.938384 0.973212 0.993392 1 0.99285 0.979401 0.966997 0.9556 0.945152 0.93559 0.926845 0.918848 0.911533 0.904837 0.898704 0.893078 0.887911 
1.60321 0.904588 0.91199 0.920086 0.928945 0.93864 0.949245 0.960834 0.973472 0.987212 0.998937 0.99764 0.983054 0.954284 0.90995 0.848651 0.769321 0.671608 0.556281 0.425685 0.284193 0.138944 0.0108512 0.0835023 0.233331 0.377163 0.512231 0.633308 0.737388 0.823193 0.89073 0.94084 0.974856 0.994192 0.999975 0.992056 0.977915 0.964892 0.95294 0.941997 0.931992 0.922851 0.914499 0.906866 0.899884 0.893493 0.887634 0.882257 
1.68337 0.899827 0.90753 0.915961 0.925194 0.935308 0.946383 0.958498 0.971727 0.98613 0.998595 0.998109 0.984369 0.956436 0.912869 0.8522 0.773284 0.675694 0.560143 0.428956 0.286541 0.140145 0.0109467 0.084231 0.235295 0.380144 0.515926 0.637355 0.741429 0.826912 0.893884 0.943265 0.97646 0.994946 0.999901 0.991214 0.976384 0.962746 0.950245 0.938813 0.928372 0.918841 0.910142 0.902197 0.894936 0.888293 0.882208 0.876626 
1.76353 0.895067 0.903063 0.911822 0.921423 0.931949 0.943487 0.956124 0.969939 0.984999 0.998202 0.998529 0.985639 0.958551 0.915765 0.85574 0.777254 0.679801 0.564035 0.432258 0.288916 0.141362 0.0110435 0.0849689 0.237283 0.383156 0.519652 0.641427 0.74548 0.830627 0.897019 0.945657 0.978021 0.995652 0.999776 0.990323 0.974808 0.960559 0.947515 0.935601 0.92473 0.914817 0.905777 0.897527 0.889993 0.883104 0.876798 0.871017 
1.84369 0.890307 0.898591 0.907671 0.917632 0.928564 0.940559 0.953711 0.968106 0.98382 0.997759 0.998898 0.986863 0.960628 0.918634 0.859269 0.781228 0.683927 0.567955 0.435593 0.291318 0.142593 0.0111415 0.0857163 0.239295 0.386199 0.52341 0.645522 0.749542 0.834336 0.900134 0.948015 0.979539 0.996309 0.999601 0.989381 0.973186 0.958332 0.944751 0.93236 0.921067 0.910779 0.901404 0.892856 0.885055 0.877927 0.871407 0.865432 
1.92385 0.885549 0.894113 0.903507 0.913823 0.925153 0.937598 0.951258 0.966229 0.982592 0.997264 0.999215 0.98804 0.962665 0.921476 0.862786 0.785206 0.688071 0.571905 0.43896 0.293748 0.14384 0.0112408 0.0864731 0.24133 0.389274 0.527198 0.649639 0.753613 0.838039 0.903225 0.950338 0.981012 0.996916 0.999374 0.98839 0.971517 0.956063 0.941952 0.929091 0.917383 0.906725 0.897023 0.888183 0.880122 0.872762 0.866032 0.859869 
2.00401 0.880792 0.889629 0.899332 0.909994 0.921716 0.934604 0.948767 0.964306 0.981314 0.996716 0.999481 0.989168 0.964662 0.924289 0.866288 0.789186 0.692232 0.575882 0.442358 0.296204 0.145102 0.0113413 0.0872394 0.243389 0.39238 0.531016 0.653778 0.757691 0.841733 0.906293 0.952623 0.982439 0.997471 0.999093 0.987348 0.969802 0.953753 0.939118 0.925794 0.913677 0.902658 0.892635 0.88351 0.875195 0.867608 0.860675 0.854329 
2.08417 0.876036 0.885141 0.895144 0.906146 0.918253 0.931578 0.946236 0.962338 0.979986 0.996115 0.999693 0.990246 0.966617 0.927072 0.869774 0.793167 0.69641 0.579887 0.445788 0.298688 0.146379 0.0114431 0.0880152 0.245471 0.395516 0.534865 0.657938 0.761776 0.845417 0.909335 0.954871 0.983818 0.997974 0.99876 0.986255 0.96804 0.951402 0.936248 0.922469 0.90995 0.898576 0.888239 0.878836 0.870274 0.862465 0.855334 0.848811 
2.16433 0.871281 0.880647 0.890945 0.90228 0.914765 0.928519 0.943665 0.960325 0.978607 0.99546 0.99985 0.991274 0.968529 0.929822 0.873244 0.797148 0.700603 0.583919 0.44925 0.301199 0.147672 0.0115462 0.0888007 0.247578 0.398684 0.538742 0.662118 0.765866 0.84909 0.91235 0.957078 0.985149 0.998423 0.998372 0.98511 0.966231 0.94901 0.933345 0.919116 0.906202 0.89448 0.883836 0.874162 0.865358 0.857335 0.850012 0.843317 
2.24449 0.866528 0.876149 0.886734 0.898395 0.911251 0.925427 0.941056 0.958267 0.977178 0.994751 0.999953 0.992249 0.970395 0.932539 0.876695 0.801126 0.70481 0.587977 0.452743 0.303738 0.148981 0.0116506 0.0895958 0.249708 0.401883 0.542649 0.666318 0.769961 0.85275 0.915336 0.959244 0.986429 0.998819 0.99793 0.983913 0.964375 0.946577 0.930406 0.915735 0.902433 0.890371 0.879427 0.869487 0.860448 0.852216 0.844706 0.837845 
2.32465 0.861777 0.871646 0.882512 0.894492 0.907712 0.922303 0.938408 0.956163 0.975698 0.993987 1 0.993172 0.972215 0.93522 0.880125 0.805102 0.70903 0.592061 0.456267 0.306304 0.150305 0.0117564 0.0904007 0.251863 0.405113 0.546585 0.670535 0.774058 0.856395 0.918292 0.961367 0.987659 0.999158 0.997432 0.982663 0.962471 0.944102 0.927433 0.912327 0.898644 0.886249 0.875011 0.864812 0.855544 0.847109 0.839419 0.832395 
2.40481 0.857029 0.867139 0.87828 0.890572 0.904148 0.919148 0.93572 0.954013 0.974167 0.993168 0.99999 0.99404 0.973988 0.937866 0.883534 0.809073 0.713263 0.59617 0.459822 0.308897 0.151645 0.0118634 0.0912154 0.254041 0.408373 0.550548 0.67477 0.778157 0.860025 0.921217 0.963446 0.988836 0.999442 0.996878 0.981361 0.96052 0.941586 0.924426 0.908892 0.894836 0.882113 0.870589 0.860138 0.850647 0.842014 0.834148 0.826968 
2.48497 0.852283 0.862628 0.874036 0.886634 0.900559 0.91596 0.932994 0.951818 0.972584 0.992293 0.999923 0.994853 0.975711 0.940473 0.88692 0.813038 0.717508 0.600304 0.463407 0.311518 0.153001 0.0119717 0.0920399 0.256244 0.411664 0.55454 0.679022 0.782257 0.863638 0.924108 0.96548 0.98996 0.999669 0.996267 0.980006 0.958522 0.93903 0.921385 0.90543 0.891007 0.877965 0.86616 0.855463 0.845756 0.836932 0.828896 0.821564 
2.56513 0.847539 0.858114 0.869783 0.882679 0.896946 0.912741 0.930229 0.949577 0.970949 0.991362 0.999798 0.995609 0.977385 0.943041 0.890282 0.816996 0.721762 0.604462 0.467023 0.314166 0.154373 0.0120814 0.0928744 0.258471 0.414985 0.558558 0.68329 0.786355 0.867232 0.926965 0.967466 0.991029 0.999838 0.9956 0.978597 0.956475 0.936432 0.91831 0.901941 0.887159 0.873804 0.861726 0.85079 0.840872 0.831862 0.823661 0.816183 
2.64529 0.842798 0.853596 0.86552 0.878707 0.89331 0.909491 0.927425 0.947291 0.969263 0.990374 0.999614 0.996309 0.979007 0.945568 0.893617 0.820946 0.726026 0.608643 0.47067 0.316842 0.155761 0.0121924 0.0937189 0.260723 0.418337 0.562604 0.687572 0.790452 0.870806 0.929786 0.969405 0.992042 0.999949 0.994874 0.977135 0.954382 0.933793 0.915201 0.898426 0.883292 0.869631 0.857287 0.846118 0.835995 0.826804 0.818444 0.810824 
2.72545 0.838061 0.849075 0.861247 0.874719 0.889649 0.90621 0.924583 0.94496 0.967525 0.989329 0.999371 0.99695 0.980577 0.948052 0.896925 0.824886 0.730298 0.612847 0.474346 0.319545 0.157166 0.0123048 0.0945735 0.262999 0.421719 0.566675 0.691868 0.794545 0.874359 0.932569 0.971294 0.992999 1 0.994091 0.97562 0.952241 0.931114 0.912059 0.894885 0.879407 0.865447 0.852843 0.841447 0.831125 0.82176 0.813245 0.805488 
2.80561 0.833327 0.844552 0.856965 0.870715 0.885966 0.902898 0.921704 0.942584 0.965736 0.988227 0.999069 0.997532 0.982092 0.950493 0.900204 0.828815 0.734577 0.617073 0.478052 0.322276 0.158586 0.0124185 0.0954383 0.265299 0.425132 0.570773 0.696177 0.798634 0.877889 0.935313 0.973133 0.993899 0.999992 0.99325 0.97405 0.950052 0.928395 0.908884 0.891319 0.875503 0.861252 0.848394 0.836777 0.826263 0.816728 0.808064 0.800175 
2.88577 0.828597 0.840027 0.852675 0.866696 0.88226 0.899556 0.918787 0.940162 0.963895 0.987068 0.998705 0.998055 0.983554 0.95289 0.903452 0.832731 0.738862 0.621321 0.481787 0.325035 0.160023 0.0125337 0.0963132 0.267625 0.428574 0.574896 0.700498 0.802716 0.881394 0.938017 0.974919 0.99474 0.999923 0.99235 0.972427 0.947817 0.925636 0.905677 0.887728 0.871582 0.857045 0.843941 0.83211 0.821408 0.81171 0.802901 0.794885 
2.96593 0.823872 0.835499 0.848376 0.862661 0.878532 0.896185 0.915832 0.937696 0.962002 0.985852 0.998282 0.998517 0.984959 0.955239 0.906668 0.836634 0.743152 0.625589 0.485552 0.327821 0.161476 0.0126502 0.0971985 0.269975 0.432047 0.579043 0.70483 0.806792 0.884873 0.940679 0.976653 0.995522 0.999793 0.991392 0.970751 0.945534 0.922837 0.902438 0.884112 0.867643 0.852829 0.839485 0.827445 0.816562 0.806705 0.797757 0.789618 
3.04609 0.81915 0.830971 0.84407 0.858612 0.874782 0.892784 0.912841 0.935186 0.960057 0.984578 0.997797 0.998918 0.986307 0.957541 0.909851 0.840521 0.747446 0.629878 0.489346 0.330636 0.162946 0.0127681 0.0980941 0.27235 0.435549 0.583215 0.709173 0.810859 0.888325 0.943298 0.978332 0.996243 0.999601 0.990374 0.96902 0.943204 0.919999 0.899167 0.880472 0.863687 0.848602 0.835025 0.822783 0.811724 0.801713 0.792631 0.784374 
