K 21F 21.1F 21.2F 21.3F 21.4F 21.5F 21.6F 21.7F 21.8F 21.9F 22F 22.1F 22.2F 22.3F 22.4F 22.5F 22.6F 22.7F 22.8F 22.9F 
2.24449 0.801126 0.755583 0.70481 0.64888 0.587977 0.52244 0.452743 0.379553 0.303738 0.226405 0.148981 0.0627331 0.0116506 0.0206988 0.0895958 0.17213 0.249708 0.326734 0.401883 0.474121 
2.32465 0.805102 0.759724 0.70903 0.653084 0.592061 0.526297 0.456267 0.382643 0.306304 0.228375 0.150305 0.0632987 0.0117564 0.0208864 0.0904007 0.173652 0.251863 0.329465 0.405113 0.477755 
2.40481 0.809073 0.763869 0.713263 0.657307 0.59617 0.530183 0.459822 0.385763 0.308897 0.230367 0.151645 0.0638711 0.0118634 0.0210763 0.0912154 0.175191 0.254041 0.332225 0.408373 0.48142 
2.48497 0.813038 0.768018 0.717508 0.66155 0.600304 0.534099 0.463407 0.388913 0.311518 0.232381 0.153001 0.0644506 0.0119717 0.0212686 0.0920399 0.176748 0.256244 0.335013 0.411664 0.485115 
2.56513 0.816996 0.772168 0.721762 0.66581 0.604462 0.538042 0.467023 0.392094 0.314166 0.234418 0.154373 0.0650371 0.0120814 0.0214632 0.0928744 0.178323 0.258471 0.33783 0.414985 0.48884 
2.64529 0.820946 0.776319 0.726026 0.670086 0.608643 0.542013 0.47067 0.395304 0.316842 0.236478 0.155761 0.0656307 0.0121924 0.0216602 0.0937189 0.179917 0.260723 0.340675 0.418337 0.492595 
2.72545 0.824886 0.780469 0.730298 0.67438 0.612847 0.546012 0.474346 0.398545 0.319545 0.23856 0.157166 0.0662314 0.0123048 0.0218596 0.0945735 0.181529 0.262999 0.343549 0.421719 0.496379 
2.80561 0.828815 0.784618 0.734577 0.678688 0.617073 0.550038 0.478052 0.401816 0.322276 0.240666 0.158586 0.0668393 0.0124185 0.0220614 0.0954383 0.183159 0.265299 0.346452 0.425132 0.500193 
2.88577 0.832731 0.788763 0.738862 0.683011 0.621321 0.554091 0.481787 0.405116 0.325035 0.242795 0.160023 0.0674544 0.0125337 0.0222656 0.0963132 0.184808 0.267625 0.349383 0.428574 0.504036 
2.96593 0.836634 0.792904 0.743152 0.687347 0.625589 0.558169 0.485552 0.408447 0.327821 0.244946 0.161476 0.0680769 0.0126502 0.0224723 0.0971985 0.186475 0.269975 0.352343 0.432047 0.507907 
