T 21F 21.1F 21.2F 21.3F 21.4F 21.5F 21.6F 21.7F 21.8F 21.9F 22F 22.1F 22.2F 22.3F 22.4F 22.5F 22.6F 22.7F 22.8F 22.9F 
0.700438 0.713888 0.666831 0.616205 0.562694 0.51125 0.459153 0.403763 0.345406 0.284446 0.221301 0.156767 0.0913763 0.0245739 0.044627 0.11117 0.176074 0.240478 0.303031 0.363271 0.420798 
0.725453 0.715103 0.668048 0.617403 0.563852 0.512356 0.460191 0.404712 0.346243 0.285155 0.221864 0.157172 0.0916148 0.0246384 0.044744 0.11146 0.176527 0.241086 0.30378 0.364144 0.421775 
0.750469 0.716319 0.669268 0.618604 0.565013 0.513465 0.461232 0.405663 0.347084 0.285867 0.22243 0.157579 0.0918544 0.0247031 0.0448614 0.11175 0.176982 0.241697 0.304532 0.36502 0.422755 
0.775485 0.717538 0.67049 0.619808 0.566177 0.514578 0.462277 0.406618 0.347929 0.286581 0.222997 0.157988 0.092095 0.0247681 0.0449793 0.112042 0.177439 0.24231 0.305287 0.3659 0.423739 
0.8005 0.718758 0.671714 0.621014 0.567344 0.515694 0.463325 0.407577 0.348776 0.287298 0.223567 0.158398 0.0923366 0.0248334 0.0450978 0.112336 0.177898 0.242926 0.306045 0.366782 0.424726 
0.825516 0.71998 0.672941 0.622224 0.568514 0.516813 0.464377 0.408538 0.349626 0.288018 0.22414 0.15881 0.0925792 0.0248989 0.0452167 0.11263 0.178358 0.243544 0.306805 0.367668 0.425717 
0.850532 0.721203 0.67417 0.623436 0.569687 0.517935 0.465432 0.409503 0.35048 0.28874 0.224714 0.159224 0.0928228 0.0249648 0.0453362 0.112926 0.178821 0.244164 0.307569 0.368557 0.426711 
0.875547 0.722429 0.675401 0.624651 0.570864 0.519061 0.46649 0.410471 0.351336 0.289465 0.225291 0.159639 0.0930675 0.0250309 0.0454561 0.113222 0.179285 0.244787 0.308336 0.369449 0.427708 
0.900563 0.723656 0.676635 0.625868 0.572043 0.52019 0.467552 0.411443 0.352196 0.290194 0.22587 0.160056 0.0933131 0.0250973 0.0455766 0.11352 0.179751 0.245413 0.309105 0.370344 0.428709 
0.925578 0.724885 0.67787 0.627088 0.573225 0.521322 0.468617 0.412418 0.353059 0.290924 0.226452 0.160475 0.0935598 0.0251639 0.0456975 0.11382 0.18022 0.24604 0.309877 0.371243 0.429713 
