T 18F 19F 20F 21F 23F 24F 25F 26F 27F 18000F 19000F 20000F 21000F 23000F 24000F 25000F 26000F 27000F 
0 0.00601245 0.00851922 0.0122055 0.0169159 0.0218998 0.0197406 0.0166697 0.0140398 0.0121246 0.00682407 0.00942352 0.0132075 0.0180207 0.023225 0.0211835 0.0182353 0.0157332 0.0139508 
0.0250156 0.00600429 0.00851426 0.0122114 0.0169445 0.021947 0.0197614 0.0166677 0.0140253 0.0121043 0.00681959 0.00942266 0.0132179 0.0180542 0.0232781 0.0212108 0.0182404 0.0157263 0.0139388 
0.0500313 0.00599613 0.00850927 0.0122172 0.0169731 0.0219943 0.0197821 0.0166656 0.0140108 0.0120841 0.00681512 0.00942179 0.0132283 0.0180879 0.0233315 0.0212381 0.0182454 0.0157195 0.0139268 
0.0750469 0.00598796 0.00850426 0.0122231 0.0170018 0.0220418 0.0198029 0.0166634 0.0139962 0.0120639 0.00681066 0.00942091 0.0132387 0.0181216 0.0233851 0.0212655 0.0182504 0.0157127 0.0139149 
0.100063 0.00597979 0.00849922 0.0122288 0.0170306 0.0220895 0.0198236 0.0166612 0.0139816 0.0120436 0.00680622 0.00942003 0.0132491 0.0181555 0.0234389 0.0212928 0.0182554 0.0157059 0.0139031 
0.125078 0.00597161 0.00849416 0.0122346 0.0170594 0.0221374 0.0198444 0.016659 0.013967 0.0120234 0.0068018 0.00941915 0.0132595 0.0181894 0.0234928 0.0213203 0.0182604 0.0156991 0.0138913 
0.150094 0.00596344 0.00848907 0.0122403 0.0170883 0.0221854 0.0198651 0.0166567 0.0139524 0.0120032 0.00679739 0.00941826 0.0132699 0.0182234 0.023547 0.0213477 0.0182654 0.0156924 0.0138796 
0.175109 0.00595525 0.00848395 0.012246 0.0171173 0.0222336 0.0198858 0.0166543 0.0139377 0.011983 0.006793 0.00941737 0.0132803 0.0182575 0.0236014 0.0213752 0.0182703 0.0156856 0.013868 
0.200125 0.00594706 0.00847881 0.0122517 0.0171463 0.022282 0.0199066 0.0166519 0.0139231 0.0119629 0.00678862 0.00941647 0.0132906 0.0182918 0.023656 0.0214027 0.0182752 0.0156789 0.0138564 
0.225141 0.00593887 0.00847364 0.0122573 0.0171754 0.0223306 0.0199273 0.0166494 0.0139083 0.0119427 0.00678425 0.00941556 0.013301 0.018326 0.0237108 0.0214302 0.0182801 0.0156722 0.0138448 
0.250156 0.00593068 0.00846845 0.0122629 0.0172045 0.0223793 0.019948 0.0166469 0.0138936 0.0119226 0.00677991 0.00941465 0.0133113 0.0183604 0.0237658 0.0214577 0.018285 0.0156654 0.0138333 
0.275172 0.00592248 0.00846322 0.0122685 0.0172337 0.0224282 0.0199687 0.0166443 0.0138788 0.0119024 0.00677557 0.00941374 0.0133217 0.0183949 0.023821 0.0214853 0.0182899 0.0156587 0.0138219 
0.300188 0.00591427 0.00845797 0.012274 0.017263 0.0224773 0.0199894 0.0166416 0.013864 0.0118823 0.00677126 0.00941282 0.013332 0.0184295 0.0238765 0.0215129 0.0182947 0.0156521 0.0138105 
0.325203 0.00590607 0.00845269 0.0122795 0.0172924 0.0225265 0.02001 0.0166389 0.0138492 0.0118622 0.00676695 0.00941189 0.0133423 0.0184641 0.0239321 0.0215405 0.0182996 0.0156454 0.0137992 
0.350219 0.00589785 0.00844739 0.0122849 0.0173217 0.0225759 0.0200307 0.0166361 0.0138343 0.0118421 0.00676267 0.00941096 0.0133526 0.0184989 0.0239879 0.0215681 0.0183044 0.0156387 0.0137879 
0.375235 0.00588963 0.00844205 0.0122904 0.0173512 0.0226255 0.0200513 0.0166333 0.0138195 0.011822 0.0067584 0.00941003 0.0133629 0.0185337 0.024044 0.0215958 0.0183091 0.0156321 0.0137767 
