T 18F 19F 20F 21F 23F 24F 25F 26F 27F 18000F 19000F 20000F 21000F 23000F 24000F 25000F 26000F 27000F 
0.600375 0.00581547 0.00839276 0.0123374 0.0176187 0.0230795 0.0202363 0.0166049 0.0136842 0.0116416 0.00611721 0.00872896 0.01271 0.0180294 0.0235721 0.0207727 0.0171869 0.0143137 0.0123205 
0.625391 0.00580721 0.00838714 0.0123425 0.0176487 0.0231308 0.0202567 0.0166014 0.013669 0.0116216 0.00611034 0.00872488 0.0127167 0.0180613 0.0236257 0.0207956 0.0171861 0.0143014 0.0123036 
0.650407 0.00579894 0.00838149 0.0123474 0.0176787 0.0231822 0.0202771 0.0165978 0.0136538 0.0116016 0.00610346 0.00872078 0.0127234 0.0180932 0.0236794 0.0208185 0.0171852 0.0142891 0.0122868 
0.675422 0.00579067 0.00837581 0.0123524 0.0177088 0.0232338 0.0202975 0.0165942 0.0136385 0.0115816 0.00609659 0.00871666 0.0127301 0.0181252 0.0237333 0.0208413 0.0171843 0.0142768 0.0122699 
0.700438 0.00578239 0.0083701 0.0123573 0.017739 0.0232856 0.0203178 0.0165905 0.0136233 0.0115617 0.00608972 0.00871251 0.0127367 0.0181573 0.0237874 0.0208642 0.0171833 0.0142645 0.0122531 
0.725453 0.00577411 0.00836436 0.0123621 0.0177692 0.0233376 0.0203382 0.0165868 0.013608 0.0115417 0.00608285 0.00870835 0.0127433 0.0181894 0.0238416 0.020887 0.0171823 0.0142521 0.0122364 
0.750469 0.00576582 0.00835858 0.012367 0.0177994 0.0233897 0.0203584 0.0165829 0.0135926 0.0115218 0.00607598 0.00870416 0.0127499 0.0182215 0.0238961 0.0209098 0.0171812 0.0142398 0.0122196 
0.775485 0.00575753 0.00835278 0.0123717 0.0178297 0.023442 0.0203787 0.016579 0.0135773 0.0115019 0.00606912 0.00869995 0.0127564 0.0182538 0.0239507 0.0209326 0.0171801 0.0142274 0.0122029 
0.8005 0.00574924 0.00834695 0.0123764 0.01786 0.0234944 0.0203989 0.0165751 0.0135619 0.0114819 0.00606226 0.00869572 0.0127629 0.018286 0.0240055 0.0209554 0.0171789 0.014215 0.0121862 
0.825516 0.00574094 0.00834109 0.0123811 0.0178903 0.023547 0.0204191 0.016571 0.0135465 0.011462 0.0060554 0.00869147 0.0127693 0.0183184 0.0240605 0.0209781 0.0171776 0.0142026 0.0121696 
0.850532 0.00573263 0.00833519 0.0123857 0.0179207 0.0235998 0.0204392 0.0165669 0.013531 0.0114421 0.00604855 0.00868719 0.0127758 0.0183507 0.0241156 0.0210009 0.0171763 0.0141901 0.0121529 
0.875547 0.00572432 0.00832927 0.0123903 0.0179512 0.0236528 0.0204593 0.0165627 0.0135155 0.0114222 0.00604169 0.00868289 0.0127821 0.0183832 0.0241709 0.0210236 0.017175 0.0141777 0.0121363 
0.900563 0.005716 0.00832332 0.0123948 0.0179817 0.0237059 0.0204794 0.0165585 0.0135 0.0114024 0.00603485 0.00867857 0.0127885 0.0184157 0.0242264 0.0210462 0.0171735 0.0141652 0.0121198 
0.925578 0.00570768 0.00831733 0.0123993 0.0180122 0.0237591 0.0204994 0.0165542 0.0134844 0.0113825 0.006028 0.00867423 0.0127948 0.0184482 0.0242821 0.0210689 0.0171721 0.0141528 0.0121032 
0.950594 0.00569936 0.00831131 0.0124037 0.0180428 0.0238126 0.0205194 0.0165498 0.0134689 0.0113626 0.00602115 0.00866986 0.012801 0.0184808 0.024338 0.0210915 0.0171705 0.0141403 0.0120867 
0.97561 0.00569103 0.00830527 0.0124081 0.0180734 0.0238662 0.0205394 0.0165453 0.0134533 0.0113428 0.00601431 0.00866547 0.0128073 0.0185134 0.024394 0.0211141 0.0171689 0.0141278 0.0120702 
1.00063 0.00568269 0.00829919 0.0124125 0.0181041 0.0239199 0.0205593 0.0165408 0.0134376 0.011323 0.00600748 0.00866106 0.0128134 0.0185461 0.0244502 0.0211367 0.0171673 0.0141153 0.0120537 
1.02564 0.00567435 0.00829308 0.0124167 0.0181347 0.0239738 0.0205791 0.0165362 0.013422 0.0113031 0.00600064 0.00865663 0.0128196 0.0185789 0.0245066 0.0211592 0.0171656 0.0141027 0.0120373 
1.05066 0.00566601 0.00828694 0.012421 0.0181655 0.0240279 0.0205989 0.0165315 0.0134063 0.0112833 0.00599381 0.00865217 0.0128257 0.0186116 0.0245631 0.0211817 0.0171638 0.0140902 0.0120209 
1.07567 0.00565766 0.00828077 0.0124251 0.0181962 0.0240822 0.0206187 0.0165267 0.0133905 0.0112635 0.00598698 0.0086477 0.0128317 0.0186445 0.0246198 0.0212042 0.017162 0.0140776 0.0120045 
1.10069 0.00564931 0.00827456 0.0124293 0.018227 0.0241366 0.0206384 0.0165219 0.0133748 0.0112437 0.00598016 0.00864319 0.0128377 0.0186773 0.0246767 0.0212266 0.0171601 0.014065 0.0119881 
1.1257 0.00564095 0.00826833 0.0124333 0.0182578 0.0241911 0.0206581 0.016517 0.013359 0.0112239 0.00597333 0.00863867 0.0128437 0.0187103 0.0247338 0.021249 0.0171581 0.0140525 0.0119718 
1.15072 0.00563259 0.00826206 0.0124374 0.0182887 0.0242458 0.0206777 0.016512 0.0133431 0.0112042 0.00596652 0.00863413 0.0128496 0.0187432 0.0247911 0.0212714 0.0171561 0.0140399 0.0119555 
1.17573 0.00562422 0.00825576 0.0124413 0.0183196 0.0243007 0.0206973 0.0165069 0.0133273 0.0111844 0.0059597 0.00862956 0.0128555 0.0187762 0.0248485 0.0212937 0.0171541 0.0140272 0.0119392 
1.20075 0.00561585 0.00824943 0.0124452 0.0183505 0.0243558 0.0207168 0.0165018 0.0133114 0.0111646 0.00595289 0.00862497 0.0128613 0.0188093 0.0249061 0.021316 0.0171519 0.0140146 0.011923 
1.22577 0.00560747 0.00824307 0.0124491 0.0183815 0.024411 0.0207363 0.0164965 0.0132955 0.0111449 0.00594608 0.00862035 0.0128671 0.0188424 0.0249638 0.0213383 0.0171497 0.014002 0.0119068 
1.25078 0.00559909 0.00823668 0.0124529 0.0184125 0.0244663 0.0207557 0.0164912 0.0132795 0.0111252 0.00593928 0.00861572 0.0128729 0.0188755 0.0250217 0.0213605 0.0171475 0.0139893 0.0118906 
1.2758 0.0055907 0.00823025 0.0124566 0.0184435 0.0245218 0.0207751 0.0164859 0.0132636 0.0111054 0.00593248 0.00861106 0.0128786 0.0189087 0.0250798 0.0213827 0.0171452 0.0139766 0.0118744 
1.30081 0.00558231 0.0082238 0.0124603 0.0184745 0.0245775 0.0207944 0.0164804 0.0132475 0.0110857 0.00592568 0.00860638 0.0128842 0.0189419 0.0251381 0.0214048 0.0171428 0.013964 0.0118583 
1.32583 0.00557392 0.00821731 0.012464 0.0185056 0.0246333 0.0208136 0.0164749 0.0132315 0.011066 0.00591889 0.00860167 0.0128898 0.0189751 0.0251965 0.0214269 0.0171404 0.0139513 0.0118422 
1.35084 0.00556552 0.00821079 0.0124675 0.0185367 0.0246893 0.0208328 0.0164693 0.0132154 0.0110463 0.0059121 0.00859695 0.0128954 0.0190084 0.0252552 0.0214489 0.0171379 0.0139385 0.0118261 
1.37586 0.00555711 0.00820423 0.012471 0.0185678 0.0247454 0.0208519 0.0164636 0.0131993 0.0110266 0.00590531 0.0085922 0.0129009 0.0190417 0.0253139 0.021471 0.0171353 0.0139258 0.0118101 
1.40088 0.0055487 0.00819765 0.0124745 0.018599 0.0248017 0.020871 0.0164579 0.0131832 0.011007 0.00589853 0.00858743 0.0129064 0.0190751 0.0253729 0.0214929 0.0171327 0.0139131 0.0117941 
1.42589 0.00554029 0.00819103 0.0124779 0.0186301 0.0248582 0.02089 0.016452 0.013167 0.0109873 0.00589175 0.00858263 0.0129118 0.0191085 0.025432 0.0215148 0.01713 0.0139003 0.0117781 
1.45091 0.00553187 0.00818438 0.0124812 0.0186613 0.0249148 0.020909 0.0164461 0.0131508 0.0109677 0.00588498 0.00857782 0.0129172 0.0191419 0.0254913 0.0215367 0.0171272 0.0138876 0.0117621 
1.47592 0.00552345 0.0081777 0.0124845 0.0186925 0.0249715 0.0209278 0.0164401 0.0131346 0.010948 0.00587821 0.00857298 0.0129225 0.0191754 0.0255507 0.0215585 0.0171244 0.0138748 0.0117462 
1.50094 0.00551503 0.00817099 0.0124877 0.0187238 0.0250284 0.0209467 0.016434 0.0131184 0.0109284 0.00587145 0.00856812 0.0129278 0.0192089 0.0256104 0.0215803 0.0171216 0.013862 0.0117303 
1.52595 0.0055066 0.00816425 0.0124909 0.018755 0.0250855 0.0209654 0.0164279 0.0131021 0.0109088 0.00586469 0.00856323 0.012933 0.0192424 0.0256702 0.021602 0.0171186 0.0138492 0.0117145 
