T 18F 19F 20F 21F 23F 24F 25F 26F 27F 18000F 19000F 20000F 21000F 23000F 24000F 25000F 26000F 27000F 
0.600375 0.00561144 0.00816542 0.0120855 0.017341 0.0227463 0.0198735 0.0162113 0.0132585 0.0111825 0.00638225 0.00902426 0.0130372 0.0183902 0.0240049 0.0212439 0.0176982 0.0148667 0.0129168 
0.625391 0.00560466 0.00816146 0.0120924 0.017373 0.0228001 0.0198966 0.0162107 0.0132464 0.0111658 0.00636984 0.00901403 0.0130371 0.0184145 0.0240494 0.0212569 0.0176867 0.0148429 0.0128875 
0.650407 0.00559788 0.00815746 0.0120992 0.0174051 0.0228539 0.0199197 0.01621 0.0132343 0.0111492 0.00635747 0.0090038 0.013037 0.018439 0.0240941 0.02127 0.0176752 0.0148191 0.0128583 
0.675422 0.00559107 0.00815341 0.012106 0.0174372 0.0229079 0.0199426 0.0162092 0.0132221 0.0111325 0.00634512 0.00899357 0.0130369 0.0184635 0.0241391 0.0212832 0.0176637 0.0147953 0.0128291 
0.700438 0.00558425 0.00814932 0.0121127 0.0174693 0.0229621 0.0199656 0.0162083 0.0132099 0.0111158 0.00633279 0.00898335 0.0130368 0.0184881 0.0241843 0.0212963 0.0176522 0.0147716 0.0128001 
0.725453 0.00557741 0.00814519 0.0121193 0.0175014 0.0230164 0.0199885 0.0162073 0.0131976 0.0110992 0.0063205 0.00897314 0.0130367 0.0185128 0.0242297 0.0213095 0.0176407 0.014748 0.0127711 
0.750469 0.00557056 0.00814102 0.0121259 0.0175336 0.0230709 0.0200113 0.0162063 0.0131852 0.0110824 0.00630823 0.00896293 0.0130366 0.0185377 0.0242753 0.0213227 0.0176292 0.0147243 0.0127422 
0.775485 0.00556369 0.0081368 0.0121324 0.0175658 0.0231255 0.0200341 0.0162051 0.0131728 0.0110657 0.00629598 0.00895272 0.0130365 0.0185625 0.0243211 0.0213359 0.0176177 0.0147007 0.0127134 
0.8005 0.00555681 0.00813255 0.0121389 0.0175981 0.0231802 0.0200568 0.0162039 0.0131604 0.011049 0.00628376 0.00894252 0.0130363 0.0185875 0.0243671 0.0213492 0.0176062 0.0146771 0.0126846 
0.825516 0.00554991 0.00812825 0.0121453 0.0176303 0.0232351 0.0200795 0.0162025 0.0131479 0.0110322 0.00627157 0.00893231 0.0130362 0.0186126 0.0244134 0.0213624 0.0175946 0.0146536 0.012656 
0.850532 0.00554299 0.0081239 0.0121516 0.0176626 0.0232902 0.0201021 0.0162011 0.0131353 0.0110155 0.0062594 0.00892212 0.0130361 0.0186377 0.0244599 0.0213757 0.0175831 0.0146301 0.0126274 
0.875547 0.00553606 0.00811952 0.0121579 0.017695 0.0233454 0.0201247 0.0161996 0.0131227 0.0109987 0.00624725 0.00891192 0.0130359 0.018663 0.0245066 0.021389 0.0175715 0.0146066 0.0125988 
0.900563 0.00552912 0.00811509 0.0121641 0.0177273 0.0234007 0.0201472 0.016198 0.0131101 0.0109819 0.00623513 0.00890173 0.0130357 0.0186883 0.0245534 0.0214023 0.0175599 0.0145831 0.0125704 
0.925578 0.00552216 0.00811062 0.0121703 0.0177597 0.0234562 0.0201696 0.0161963 0.0130974 0.0109651 0.00622303 0.00889153 0.0130356 0.0187137 0.0246006 0.0214156 0.0175483 0.0145597 0.012542 
0.950594 0.00551518 0.0081061 0.0121764 0.0177921 0.0235119 0.020192 0.0161945 0.0130846 0.0109482 0.00621096 0.00888134 0.0130354 0.0187391 0.0246479 0.0214289 0.0175367 0.0145363 0.0125138 
0.97561 0.00550819 0.00810155 0.0121824 0.0178245 0.0235676 0.0202143 0.0161926 0.0130718 0.0109314 0.00619891 0.00887115 0.0130351 0.0187647 0.0246954 0.0214423 0.017525 0.0145129 0.0124855 
1.00063 0.00550118 0.00809695 0.0121884 0.017857 0.0236236 0.0202366 0.0161906 0.0130589 0.0109146 0.00618689 0.00886096 0.0130349 0.0187903 0.0247431 0.0214556 0.0175134 0.0144896 0.0124574 
1.02564 0.00549416 0.00809231 0.0121943 0.0178895 0.0236796 0.0202588 0.0161886 0.013046 0.0108977 0.00617489 0.00885077 0.0130347 0.018816 0.0247911 0.021469 0.0175017 0.0144663 0.0124293 
1.05066 0.00548713 0.00808763 0.0122001 0.017922 0.0237358 0.0202809 0.0161864 0.013033 0.0108808 0.00616291 0.00884058 0.0130344 0.0188418 0.0248392 0.0214823 0.01749 0.014443 0.0124013 
1.07567 0.00548007 0.0080829 0.0122059 0.0179545 0.0237922 0.020303 0.0161841 0.01302 0.0108639 0.00615095 0.00883039 0.0130341 0.0188676 0.0248876 0.0214957 0.0174783 0.0144197 0.0123734 
1.10069 0.00547301 0.00807813 0.0122116 0.0179871 0.0238487 0.020325 0.0161818 0.0130069 0.0108471 0.00613902 0.0088202 0.0130339 0.0188936 0.0249361 0.021509 0.0174665 0.0143965 0.0123456 
1.1257 0.00546593 0.00807332 0.0122173 0.0180196 0.0239054 0.020347 0.0161793 0.0129938 0.0108301 0.00612711 0.00881001 0.0130335 0.0189196 0.0249849 0.0215224 0.0174548 0.0143733 0.0123178 
1.15072 0.00545884 0.00806847 0.0122229 0.0180522 0.0239622 0.0203688 0.0161768 0.0129806 0.0108132 0.00611522 0.00879981 0.0130332 0.0189456 0.0250338 0.0215358 0.017443 0.0143501 0.0122901 
1.17573 0.00545173 0.00806357 0.0122284 0.0180848 0.0240191 0.0203907 0.0161742 0.0129674 0.0107963 0.00610336 0.00878962 0.0130329 0.0189718 0.025083 0.0215491 0.0174312 0.014327 0.0122625 
1.20075 0.00544461 0.00805864 0.0122338 0.0181174 0.0240762 0.0204124 0.0161714 0.0129541 0.0107793 0.00609151 0.00877942 0.0130325 0.018998 0.0251324 0.0215625 0.0174193 0.0143038 0.0122349 
1.22577 0.00543747 0.00805366 0.0122392 0.0181501 0.0241334 0.0204341 0.0161686 0.0129408 0.0107624 0.00607969 0.00876922 0.0130321 0.0190242 0.025182 0.0215758 0.0174075 0.0142807 0.0122074 
1.25078 0.00543032 0.00804864 0.0122445 0.0181827 0.0241908 0.0204557 0.0161657 0.0129274 0.0107454 0.00606789 0.00875902 0.0130317 0.0190506 0.0252317 0.0215891 0.0173956 0.0142577 0.01218 
1.2758 0.00542315 0.00804357 0.0122498 0.0182154 0.0242483 0.0204772 0.0161627 0.012914 0.0107284 0.00605611 0.00874881 0.0130312 0.019077 0.0252817 0.0216025 0.0173837 0.0142346 0.0121526 
1.30081 0.00541597 0.00803846 0.012255 0.0182481 0.0243059 0.0204987 0.0161596 0.0129005 0.0107115 0.00604436 0.0087386 0.0130307 0.0191034 0.0253319 0.0216158 0.0173717 0.0142116 0.0121253 
1.32583 0.00540878 0.00803332 0.0122601 0.0182808 0.0243637 0.02052 0.0161564 0.012887 0.0106945 0.00603262 0.00872839 0.0130303 0.0191299 0.0253822 0.0216291 0.0173597 0.0141886 0.0120981 
1.35084 0.00540158 0.00802813 0.0122651 0.0183135 0.0244216 0.0205414 0.0161531 0.0128734 0.0106775 0.0060209 0.00871818 0.0130297 0.0191565 0.0254328 0.0216424 0.0173477 0.0141656 0.0120709 
1.37586 0.00539436 0.00802289 0.0122701 0.0183463 0.0244797 0.0205626 0.0161497 0.0128598 0.0106604 0.00600921 0.00870796 0.0130292 0.0191832 0.0254836 0.0216557 0.0173357 0.0141426 0.0120439 
1.40088 0.00538712 0.00801762 0.012275 0.018379 0.0245379 0.0205838 0.0161462 0.0128461 0.0106434 0.00599754 0.00869774 0.0130286 0.0192099 0.0255345 0.0216689 0.0173237 0.0141197 0.0120168 
1.42589 0.00537988 0.0080123 0.0122799 0.0184118 0.0245963 0.0206048 0.0161426 0.0128324 0.0106264 0.00598588 0.00868751 0.013028 0.0192366 0.0255857 0.0216822 0.0173116 0.0140967 0.0119899 
1.45091 0.00537262 0.00800694 0.0122846 0.0184446 0.0246547 0.0206258 0.0161389 0.0128186 0.0106093 0.00597425 0.00867728 0.0130274 0.0192634 0.025637 0.0216954 0.0172994 0.0140738 0.011963 
1.47592 0.00536535 0.00800154 0.0122893 0.0184773 0.0247134 0.0206468 0.0161351 0.0128048 0.0105923 0.00596264 0.00866704 0.0130267 0.0192903 0.0256886 0.0217086 0.0172873 0.0140509 0.0119362 
1.50094 0.00535806 0.0079961 0.012294 0.0185101 0.0247721 0.0206676 0.0161312 0.0127909 0.0105752 0.00595104 0.0086568 0.013026 0.0193172 0.0257403 0.0217218 0.0172751 0.0140281 0.0119094 
1.52595 0.00535076 0.00799062 0.0122985 0.0185429 0.0248311 0.0206884 0.0161273 0.012777 0.0105581 0.00593947 0.00864655 0.0130253 0.0193442 0.0257922 0.021735 0.0172629 0.0140052 0.0118827 
1.55097 0.00534345 0.00798509 0.012303 0.0185757 0.0248901 0.0207091 0.0161232 0.012763 0.0105411 0.00592792 0.0086363 0.0130246 0.0193712 0.0258444 0.0217481 0.0172506 0.0139824 0.0118561 
1.57598 0.00533613 0.00797953 0.0123074 0.0186085 0.0249493 0.0207297 0.016119 0.012749 0.010524 0.00591638 0.00862604 0.0130238 0.0193983 0.0258967 0.0217612 0.0172383 0.0139596 0.0118295 
1.601 0.00532879 0.00797392 0.0123118 0.0186414 0.0250086 0.0207502 0.0161147 0.0127349 0.0105069 0.00590487 0.00861578 0.013023 0.0194255 0.0259492 0.0217743 0.017226 0.0139368 0.011803 
1.62602 0.00532144 0.00796827 0.012316 0.0186742 0.0250681 0.0207706 0.0161104 0.0127208 0.0104898 0.00589337 0.00860551 0.0130221 0.0194526 0.0260019 0.0217874 0.0172136 0.0139141 0.0117766 
1.65103 0.00531408 0.00796258 0.0123202 0.018707 0.0251277 0.0207909 0.0161059 0.0127066 0.0104726 0.00588189 0.00859523 0.0130212 0.0194799 0.0260547 0.0218004 0.0172012 0.0138913 0.0117502 
1.67605 0.00530671 0.00795684 0.0123244 0.0187398 0.0251874 0.0208112 0.0161014 0.0126924 0.0104555 0.00587044 0.00858495 0.0130203 0.0195071 0.0261078 0.0218134 0.0171888 0.0138686 0.0117239 
1.70106 0.00529933 0.00795107 0.0123284 0.0187727 0.0252473 0.0208314 0.0160967 0.0126782 0.0104384 0.005859 0.00857466 0.0130194 0.0195344 0.0261611 0.0218264 0.0171763 0.0138459 0.0116977 
1.72608 0.00529193 0.00794526 0.0123324 0.0188055 0.0253073 0.0208515 0.016092 0.0126639 0.0104213 0.00584758 0.00856436 0.0130184 0.0195618 0.0262145 0.0218393 0.0171638 0.0138232 0.0116715 
1.75109 0.00528452 0.0079394 0.0123363 0.0188383 0.0253674 0.0208715 0.0160871 0.0126495 0.0104041 0.00583618 0.00855406 0.0130173 0.0195892 0.0262681 0.0218522 0.0171513 0.0138005 0.0116453 
1.77611 0.0052771 0.0079335 0.0123401 0.0188712 0.0254277 0.0208914 0.0160822 0.0126351 0.010387 0.00582479 0.00854375 0.0130163 0.0196167 0.0263219 0.021865 0.0171387 0.0137779 0.0116193 
1.80113 0.00526967 0.00792757 0.0123439 0.018904 0.0254881 0.0209112 0.0160771 0.0126207 0.0103698 0.00581343 0.00853343 0.0130152 0.0196441 0.0263759 0.0218779 0.017126 0.0137552 0.0115933 
1.82614 0.00526222 0.00792159 0.0123476 0.0189369 0.0255486 0.0209309 0.016072 0.0126062 0.0103526 0.00580208 0.0085231 0.0130141 0.0196717 0.0264301 0.0218907 0.0171134 0.0137326 0.0115673 
1.85116 0.00525477 0.00791557 0.0123512 0.0189697 0.0256093 0.0209505 0.0160667 0.0125917 0.0103355 0.00579075 0.00851277 0.0130129 0.0196992 0.0264844 0.0219034 0.0171007 0.01371 0.0115414 
