K 21F 21.1F 21.2F 21.3F 21.4F 21.5F 21.6F 21.7F 21.8F 21.9F 22F 22.1F 22.2F 22.3F 22.4F 22.5F 22.6F 22.7F 22.8F 22.9F 
2.24449 0.7911 0.745359 0.694551 0.63876 0.57818 0.513146 0.444139 0.371813 0.297013 0.220828 0.144608 0.054338 0.011082 0.0187469 0.0770684 0.167399 0.243776 0.31969 0.393864 0.465295 
2.32465 0.795154 0.749557 0.698807 0.64298 0.582263 0.516988 0.447637 0.37487 0.299544 0.222763 0.145903 0.0548309 0.0111831 0.0189178 0.0777651 0.168888 0.245896 0.322386 0.397063 0.468906 
2.40481 0.799204 0.753759 0.703075 0.647218 0.58637 0.520858 0.451166 0.377957 0.302101 0.22472 0.147212 0.0553297 0.0112855 0.0190908 0.0784701 0.170395 0.248039 0.32511 0.400291 0.472547 
2.48497 0.803249 0.757964 0.707355 0.651476 0.590502 0.524757 0.454724 0.381073 0.304685 0.226699 0.148536 0.0558345 0.0113891 0.0192659 0.0791835 0.171919 0.250205 0.327862 0.40355 0.476218 
2.56513 0.807287 0.762172 0.711645 0.655751 0.594658 0.528683 0.458312 0.384219 0.307296 0.2287 0.149876 0.0563453 0.011494 0.0194431 0.0799054 0.173461 0.252395 0.330642 0.406838 0.479918 
2.64529 0.811316 0.76638 0.715944 0.660044 0.598837 0.532637 0.461929 0.387394 0.309933 0.230723 0.151231 0.0568621 0.0116001 0.0196224 0.0806358 0.17502 0.254609 0.333449 0.410156 0.483647 
2.72545 0.815337 0.770589 0.720252 0.664352 0.603038 0.536618 0.465576 0.390598 0.312598 0.232767 0.152602 0.0573851 0.0117076 0.0198039 0.0813748 0.176597 0.256846 0.336285 0.413503 0.487405 
2.80561 0.819347 0.774796 0.724568 0.668676 0.607261 0.540626 0.469253 0.393832 0.315289 0.234834 0.153989 0.0579143 0.0118163 0.0199876 0.0821224 0.178192 0.259107 0.339148 0.41688 0.491192 
2.88577 0.823345 0.779 0.72889 0.673015 0.611506 0.54466 0.472958 0.397095 0.318007 0.236923 0.155391 0.0584497 0.0119262 0.0201734 0.0828787 0.179804 0.261392 0.342039 0.420287 0.495007 
2.96593 0.827331 0.783201 0.733217 0.677367 0.615771 0.54872 0.476692 0.400387 0.320752 0.239035 0.156809 0.0589913 0.0120375 0.0203614 0.0836438 0.181435 0.263701 0.344957 0.423722 0.498851 
