T 18F 18.2F 18.4F 18.6F 18.8F 19F 19.2F 19.4F 19.6F 19.8F 20F 20.2F 20.4F 20.6F 20.8F 21F 21.2F 21.4F 21.6F 21.8F 22F 22.2F 22.4F 22.6F 22.8F 23F 23.2F 23.4F 23.6F 23.8F 24F 24.2F 24.4F 24.6F 24.8F 25F 25.2F 25.4F 25.6F 25.8F 26F 26.2F 26.4F 26.6F 26.8F 27F 27.2F 
0 4.36331e-05 4.46081e-05 4.55939e-05 4.65905e-05 4.75978e-05 4.86159e-05 4.96448e-05 5.06844e-05 5.17349e-05 5.27961e-05 5.3868e-05 5.49508e-05 5.60443e-05 5.71486e-05 5.82637e-05 5.93895e-05 6.05261e-05 6.16735e-05 6.28317e-05 6.40006e-05 6.51803e-05 6.63708e-05 6.75721e-05 6.87841e-05 7.00069e-05 7.12405e-05 7.24848e-05 7.37399e-05 7.50058e-05 7.62825e-05 7.757e-05 7.88682e-05 8.01772e-05 8.14969e-05 8.28275e-05 8.41688e-05 8.55209e-05 8.68837e-05 8.82574e-05 8.96418e-05 9.1037e-05 9.24429e-05 9.38597e-05 9.52872e-05 9.67254e-05 9.81745e-05 9.96343e-05 
0.0250156 4.12021e-05 4.21228e-05 4.30537e-05 4.39947e-05 4.49459e-05 4.59073e-05 4.68789e-05 4.78606e-05 4.88525e-05 4.98546e-05 5.08668e-05 5.18892e-05 5.29218e-05 5.39646e-05 5.50175e-05 5.60807e-05 5.71539e-05 5.82374e-05 5.9331e-05 6.04349e-05 6.15488e-05 6.2673e-05 6.38073e-05 6.49518e-05 6.61065e-05 6.72714e-05 6.84464e-05 6.96316e-05 7.08269e-05 7.20325e-05 7.32482e-05 7.44741e-05 7.57102e-05 7.69564e-05 7.82128e-05 7.94794e-05 8.07561e-05 8.20431e-05 8.33402e-05 8.46475e-05 8.59649e-05 8.72925e-05 8.86303e-05 8.99783e-05 9.13364e-05 9.27048e-05 9.40833e-05 
0.0500313 4.21771e-05 4.31195e-05 4.40724e-05 4.50357e-05 4.60094e-05 4.69936e-05 4.79881e-05 4.89931e-05 5.00085e-05 5.10342e-05 5.20704e-05 5.31171e-05 5.41741e-05 5.52415e-05 5.63194e-05 5.74077e-05 5.85064e-05 5.96155e-05 6.0735e-05 6.18649e-05 6.30052e-05 6.4156e-05 6.53172e-05 6.64888e-05 6.76708e-05 6.88632e-05 7.0066e-05 7.12792e-05 7.25029e-05 7.3737e-05 7.49814e-05 7.62363e-05 7.75017e-05 7.87774e-05 8.00635e-05 8.13601e-05 8.2667e-05 8.39844e-05 8.53122e-05 8.66504e-05 8.79991e-05 8.93581e-05 9.07275e-05 9.21074e-05 9.34977e-05 9.48984e-05 9.63095e-05 
0.0750469 3.98812e-05 4.07723e-05 4.16734e-05 4.25842e-05 4.35049e-05 4.44355e-05 4.53759e-05 4.63262e-05 4.72863e-05 4.82562e-05 4.9236e-05 5.02256e-05 5.12251e-05 5.22345e-05 5.32537e-05 5.42827e-05 5.53216e-05 5.63703e-05 5.74289e-05 5.84973e-05 5.95756e-05 6.06637e-05 6.17616e-05 6.28695e-05 6.39871e-05 6.51146e-05 6.6252e-05 6.73992e-05 6.85562e-05 6.97231e-05 7.08998e-05 7.20864e-05 7.32829e-05 7.44892e-05 7.57053e-05 7.69313e-05 7.81671e-05 7.94128e-05 8.06683e-05 8.19336e-05 8.32089e-05 8.44939e-05 8.57888e-05 8.70936e-05 8.84082e-05 8.97326e-05 9.10669e-05 
0.100063 4.18713e-05 4.2807e-05 4.3753e-05 4.47093e-05 4.56759e-05 4.66529e-05 4.76403e-05 4.86379e-05 4.9646e-05 5.06643e-05 5.1693e-05 5.2732e-05 5.37814e-05 5.48411e-05 5.59111e-05 5.69915e-05 5.80823e-05 5.91833e-05 6.02947e-05 6.14164e-05 6.25485e-05 6.36909e-05 6.48437e-05 6.60068e-05 6.71802e-05 6.8364e-05 6.95581e-05 7.07625e-05 7.19773e-05 7.32025e-05 7.44379e-05 7.56837e-05 7.69399e-05 7.82063e-05 7.94832e-05 8.07703e-05 8.20678e-05 8.33756e-05 8.46938e-05 8.60223e-05 8.73612e-05 8.87103e-05 9.00699e-05 9.14397e-05 9.28199e-05 9.42105e-05 9.56114e-05 
0.125078 4.20266e-05 4.29657e-05 4.39152e-05 4.48751e-05 4.58453e-05 4.68259e-05 4.78169e-05 4.88183e-05 4.983e-05 5.08522e-05 5.18847e-05 5.29276e-05 5.39808e-05 5.50445e-05 5.61185e-05 5.72029e-05 5.82976e-05 5.94028e-05 6.05183e-05 6.16442e-05 6.27805e-05 6.39271e-05 6.50841e-05 6.62515e-05 6.74293e-05 6.86175e-05 6.9816e-05 7.10249e-05 7.22442e-05 7.34739e-05 7.47139e-05 7.59644e-05 7.72252e-05 7.84963e-05 7.97779e-05 8.10698e-05 8.23721e-05 8.36848e-05 8.50079e-05 8.63413e-05 8.76851e-05 8.90393e-05 9.04039e-05 9.17788e-05 9.31641e-05 9.45598e-05 9.59659e-05 
0.150094 4.03117e-05 4.12125e-05 4.21232e-05 4.30439e-05 4.39746e-05 4.49152e-05 4.58658e-05 4.68263e-05 4.77967e-05 4.87772e-05 4.97675e-05 5.07679e-05 5.17782e-05 5.27984e-05 5.38286e-05 5.48687e-05 5.59188e-05 5.69789e-05 5.80489e-05 5.91288e-05 6.02187e-05 6.13186e-05 6.24284e-05 6.35482e-05 6.46779e-05 6.58176e-05 6.69672e-05 6.81268e-05 6.92963e-05 7.04758e-05 7.16653e-05 7.28647e-05 7.4074e-05 7.52933e-05 7.65226e-05 7.77618e-05 7.9011e-05 8.02701e-05 8.15391e-05 8.28182e-05 8.41071e-05 8.54061e-05 8.6715e-05 8.80338e-05 8.93626e-05 9.07013e-05 9.205e-05 
0.175109 4.07596e-05 4.16704e-05 4.25912e-05 4.35221e-05 4.44631e-05 4.54142e-05 4.63753e-05 4.73465e-05 4.83277e-05 4.93191e-05 5.03204e-05 5.13319e-05 5.23534e-05 5.33849e-05 5.44266e-05 5.54783e-05 5.654e-05 5.76119e-05 5.86938e-05 5.97857e-05 6.08877e-05 6.19998e-05 6.3122e-05 6.42542e-05 6.53964e-05 6.65488e-05 6.77112e-05 6.88836e-05 7.00662e-05 7.12588e-05 7.24614e-05 7.36741e-05 7.48969e-05 7.61298e-05 7.73727e-05 7.86257e-05 7.98887e-05 8.11618e-05 8.2445e-05 8.37382e-05 8.50415e-05 8.63549e-05 8.76783e-05 8.90118e-05 9.03554e-05 9.1709e-05 9.30727e-05 
0.200125 3.92868e-05 4.01647e-05 4.10523e-05 4.19496e-05 4.28566e-05 4.37733e-05 4.46997e-05 4.56358e-05 4.65816e-05 4.7537e-05 4.85022e-05 4.94771e-05 5.04617e-05 5.1456e-05 5.246e-05 5.34737e-05 5.44971e-05 5.55302e-05 5.6573e-05 5.76255e-05 5.86877e-05 5.97596e-05 6.08412e-05 6.19325e-05 6.30335e-05 6.41442e-05 6.52646e-05 6.63947e-05 6.75345e-05 6.8684e-05 6.98432e-05 7.10121e-05 7.21907e-05 7.3379e-05 7.4577e-05 7.57848e-05 7.70022e-05 7.82293e-05 7.94661e-05 8.07126e-05 8.19688e-05 8.32347e-05 8.45103e-05 8.57956e-05 8.70906e-05 8.83953e-05 8.97097e-05 
0.225141 4.23203e-05 4.3266e-05 4.42221e-05 4.51887e-05 4.61657e-05 4.71531e-05 4.81511e-05 4.91594e-05 5.01783e-05 5.12075e-05 5.22473e-05 5.32974e-05 5.4358e-05 5.54291e-05 5.65106e-05 5.76026e-05 5.8705e-05 5.98179e-05 6.09412e-05 6.2075e-05 6.32192e-05 6.43738e-05 6.5539e-05 6.67145e-05 6.79005e-05 6.9097e-05 7.03039e-05 7.15213e-05 7.27491e-05 7.39873e-05 7.5236e-05 7.64952e-05 7.77648e-05 7.90449e-05 8.03354e-05 8.16363e-05 8.29477e-05 8.42696e-05 8.56019e-05 8.69447e-05 8.82979e-05 8.96615e-05 9.10356e-05 9.24202e-05 9.38152e-05 9.52206e-05 9.66365e-05 
