T 18F 18.2F 18.4F 18.6F 18.8F 19F 19.2F 19.4F 19.6F 19.8F 20F 20.2F 20.4F 20.6F 20.8F 21F 21.2F 21.4F 21.6F 21.8F 22F 22.2F 22.4F 22.6F 22.8F 23F 23.2F 23.4F 23.6F 23.8F 24F 24.2F 24.4F 24.6F 24.8F 25F 25.2F 25.4F 25.6F 25.8F 26F 26.2F 26.4F 26.6F 26.8F 27F 27.2F 
0 6.54497e-05 6.69122e-05 6.83909e-05 6.98857e-05 7.13967e-05 7.29238e-05 7.44672e-05 7.60266e-05 7.76023e-05 7.91941e-05 8.0802e-05 8.24262e-05 8.40664e-05 8.57229e-05 8.73955e-05 8.90843e-05 9.07892e-05 9.25103e-05 9.42475e-05 9.60009e-05 9.77705e-05 9.95562e-05 0.000101358 0.000103176 0.00010501 0.000106861 0.000108727 0.00011061 0.000112509 0.000114424 0.000116355 0.000118302 0.000120266 0.000122245 0.000124241 0.000126253 0.000128281 0.000130326 0.000132386 0.000134463 0.000136555 0.000138664 0.000140789 0.000142931 0.000145088 0.000147262 0.000149451 
0.0250156 6.18032e-05 6.31842e-05 6.45805e-05 6.59921e-05 6.74189e-05 6.88609e-05 7.03183e-05 7.17909e-05 7.32787e-05 7.47818e-05 7.63002e-05 7.78338e-05 7.93827e-05 8.09469e-05 8.25263e-05 8.4121e-05 8.57309e-05 8.73561e-05 8.89966e-05 9.06523e-05 9.23233e-05 9.40095e-05 9.5711e-05 9.74277e-05 9.91598e-05 0.000100907 0.00010267 0.000104447 0.00010624 0.000108049 0.000109872 0.000111711 0.000113565 0.000115435 0.000117319 0.000119219 0.000121134 0.000123065 0.00012501 0.000126971 0.000128947 0.000130939 0.000132945 0.000134967 0.000137005 0.000139057 0.000141125 
0.0500313 6.32656e-05 6.46793e-05 6.61086e-05 6.75536e-05 6.90142e-05 7.04904e-05 7.19822e-05 7.34896e-05 7.50127e-05 7.65514e-05 7.81057e-05 7.96756e-05 8.12611e-05 8.28623e-05 8.44791e-05 8.61115e-05 8.77595e-05 8.94232e-05 9.11025e-05 9.27973e-05 9.45079e-05 9.6234e-05 9.79757e-05 9.97331e-05 0.000101506 0.000103295 0.000105099 0.000106919 0.000108754 0.000110605 0.000112472 0.000114355 0.000116252 0.000118166 0.000120095 0.00012204 0.000124001 0.000125977 0.000127968 0.000129976 0.000131999 0.000134037 0.000136091 0.000138161 0.000140247 0.000142348 0.000144464 
0.0750469 5.98217e-05 6.11585e-05 6.251e-05 6.38763e-05 6.52574e-05 6.66532e-05 6.80639e-05 6.94892e-05 7.09294e-05 7.23843e-05 7.3854e-05 7.53385e-05 7.68377e-05 7.83517e-05 7.98805e-05 8.1424e-05 8.29824e-05 8.45555e-05 8.61433e-05 8.77459e-05 8.93634e-05 9.09955e-05 9.26425e-05 9.43042e-05 9.59807e-05 9.76719e-05 9.9378e-05 0.000101099 0.000102834 0.000104585 0.00010635 0.00010813 0.000109924 0.000111734 0.000113558 0.000115397 0.000117251 0.000119119 0.000121002 0.0001229 0.000124813 0.000126741 0.000128683 0.00013064 0.000132612 0.000134599 0.0001366 
0.100063 6.2807e-05 6.42105e-05 6.56294e-05 6.70639e-05 6.85139e-05 6.99794e-05 7.14604e-05 7.29569e-05 7.44689e-05 7.59965e-05 7.75395e-05 7.9098e-05 8.06721e-05 8.22616e-05 8.38667e-05 8.54873e-05 8.71234e-05 8.8775e-05 9.04421e-05 9.21247e-05 9.38228e-05 9.55364e-05 9.72655e-05 9.90102e-05 0.00010077 0.000102546 0.000104337 0.000106144 0.000107966 0.000109804 0.000111657 0.000113526 0.00011541 0.000117309 0.000119225 0.000121155 0.000123102 0.000125063 0.000127041 0.000129033 0.000131042 0.000133066 0.000135105 0.00013716 0.00013923 0.000141316 0.000143417 
0.125078 6.30399e-05 6.44486e-05 6.58728e-05 6.73126e-05 6.8768e-05 7.02389e-05 7.17254e-05 7.32274e-05 7.47451e-05 7.62783e-05 7.7827e-05 7.93913e-05 8.09712e-05 8.25667e-05 8.41777e-05 8.58043e-05 8.74464e-05 8.91042e-05 9.07774e-05 9.24663e-05 9.41707e-05 9.58907e-05 9.76262e-05 9.93773e-05 0.000101144 0.000102926 0.000104724 0.000106537 0.000108366 0.000110211 0.000112071 0.000113947 0.000115838 0.000117744 0.000119667 0.000121605 0.000123558 0.000125527 0.000127512 0.000129512 0.000131528 0.000133559 0.000135606 0.000137668 0.000139746 0.00014184 0.000143949 
0.150094 6.04676e-05 6.18188e-05 6.31849e-05 6.45659e-05 6.59619e-05 6.73728e-05 6.87987e-05 7.02394e-05 7.16951e-05 7.31658e-05 7.46513e-05 7.61518e-05 7.76672e-05 7.91976e-05 8.07429e-05 8.23031e-05 8.38782e-05 8.54683e-05 8.70733e-05 8.86932e-05 9.03281e-05 9.19779e-05 9.36426e-05 9.53223e-05 9.70168e-05 9.87264e-05 0.000100451 0.00010219 0.000103944 0.000105714 0.000107498 0.000109297 0.000111111 0.00011294 0.000114784 0.000116643 0.000118516 0.000120405 0.000122309 0.000124227 0.000126161 0.000128109 0.000130072 0.000132051 0.000134044 0.000136052 0.000138075 
0.175109 6.11393e-05 6.25055e-05 6.38868e-05 6.52832e-05 6.66947e-05 6.81213e-05 6.9563e-05 7.10197e-05 7.24916e-05 7.39786e-05 7.54807e-05 7.69978e-05 7.85301e-05 8.00774e-05 8.16399e-05 8.32174e-05 8.48101e-05 8.64178e-05 8.80406e-05 8.96786e-05 9.13316e-05 9.29997e-05 9.46829e-05 9.63812e-05 9.80947e-05 9.98232e-05 0.000101567 0.000103325 0.000105099 0.000106888 0.000108692 0.000110511 0.000112345 0.000114195 0.000116059 0.000117939 0.000119833 0.000121743 0.000123667 0.000125607 0.000127562 0.000129532 0.000131517 0.000133518 0.000135533 0.000137563 0.000139609 
0.200125 5.89302e-05 6.02471e-05 6.15784e-05 6.29244e-05 6.42849e-05 6.56599e-05 6.70495e-05 6.84536e-05 6.98723e-05 7.13056e-05 7.27534e-05 7.42157e-05 7.56926e-05 7.7184e-05 7.869e-05 8.02106e-05 8.17457e-05 8.32953e-05 8.48595e-05 8.64383e-05 8.80316e-05 8.96394e-05 9.12618e-05 9.28988e-05 9.45503e-05 9.62163e-05 9.78969e-05 9.95921e-05 0.000101302 0.000103026 0.000104765 0.000106518 0.000108286 0.000110069 0.000111866 0.000113677 0.000115503 0.000117344 0.000119199 0.000121069 0.000122953 0.000124852 0.000126765 0.000128693 0.000130636 0.000132593 0.000134565 
0.225141 6.34804e-05 6.48989e-05 6.63331e-05 6.7783e-05 6.92485e-05 7.07297e-05 7.22266e-05 7.37392e-05 7.52674e-05 7.68113e-05 7.83709e-05 7.99461e-05 8.15371e-05 8.31437e-05 8.47659e-05 8.64039e-05 8.80575e-05 8.97268e-05 9.14118e-05 9.31124e-05 9.48288e-05 9.65608e-05 9.83084e-05 0.000100072 0.000101851 0.000103645 0.000105456 0.000107282 0.000109124 0.000110981 0.000112854 0.000114743 0.000116647 0.000118567 0.000120503 0.000122455 0.000124422 0.000126404 0.000128403 0.000130417 0.000132447 0.000134492 0.000136553 0.00013863 0.000140723 0.000142831 0.000144955 
