T 18F 18.2F 18.4F 18.6F 18.8F 19F 19.2F 19.4F 19.6F 19.8F 20F 20.2F 20.4F 20.6F 20.8F 21F 21.2F 21.4F 21.6F 21.8F 22F 22.2F 22.4F 22.6F 22.8F 23F 23.2F 23.4F 23.6F 23.8F 24F 24.2F 24.4F 24.6F 24.8F 25F 25.2F 25.4F 25.6F 25.8F 26F 26.2F 26.4F 26.6F 26.8F 27F 27.2F 
0 7.09038e-05 7.24882e-05 7.40901e-05 7.57095e-05 7.73464e-05 7.90008e-05 8.06728e-05 8.23622e-05 8.40691e-05 8.57936e-05 8.75356e-05 8.9295e-05 9.1072e-05 9.28665e-05 9.46785e-05 9.65079e-05 9.83549e-05 0.000100219 0.000102101 0.000104001 0.000105918 0.000107853 0.000109805 0.000111774 0.000113761 0.000115766 0.000117788 0.000119827 0.000121885 0.000123959 0.000126051 0.000128161 0.000130288 0.000132433 0.000134595 0.000136774 0.000138971 0.000141186 0.000143418 0.000145668 0.000147935 0.00015022 0.000152522 0.000154842 0.000157179 0.000159534 0.000161906 
0.0250156 6.69534e-05 6.84496e-05 6.99622e-05 7.14914e-05 7.30371e-05 7.45994e-05 7.61781e-05 7.77734e-05 7.93853e-05 8.10137e-05 8.26586e-05 8.432e-05 8.5998e-05 8.76925e-05 8.94035e-05 9.11311e-05 9.28752e-05 9.46358e-05 9.6413e-05 9.82066e-05 0.000100017 0.000101844 0.000103687 0.000105547 0.000107423 0.000109316 0.000111225 0.000113151 0.000115094 0.000117053 0.000119028 0.00012102 0.000123029 0.000125054 0.000127096 0.000129154 0.000131229 0.00013332 0.000135428 0.000137552 0.000139693 0.00014185 0.000144024 0.000146215 0.000148422 0.000150645 0.000152885 
0.0500313 6.85377e-05 7.00692e-05 7.16177e-05 7.31831e-05 7.47653e-05 7.63646e-05 7.79807e-05 7.96138e-05 8.12637e-05 8.29306e-05 8.46145e-05 8.63152e-05 8.80329e-05 8.97675e-05 9.1519e-05 9.32875e-05 9.50728e-05 9.68751e-05 9.86943e-05 0.00010053 0.000102384 0.000104253 0.00010614 0.000108044 0.000109965 0.000111903 0.000113857 0.000115829 0.000117817 0.000119823 0.000121845 0.000123884 0.00012594 0.000128013 0.000130103 0.00013221 0.000134334 0.000136475 0.000138632 0.000140807 0.000142998 0.000145207 0.000147432 0.000149675 0.000151934 0.00015421 0.000156503 
0.0750469 6.48069e-05 6.6255e-05 6.77192e-05 6.91994e-05 7.06955e-05 7.22077e-05 7.37358e-05 7.528e-05 7.68402e-05 7.84163e-05 8.00085e-05 8.16167e-05 8.32409e-05 8.4881e-05 8.65372e-05 8.82094e-05 8.98976e-05 9.16017e-05 9.33219e-05 9.50581e-05 9.68103e-05 9.85785e-05 0.000100363 0.000102163 0.000103979 0.000105811 0.000107659 0.000109524 0.000111404 0.0001133 0.000115212 0.00011714 0.000119085 0.000121045 0.000123021 0.000125013 0.000127022 0.000129046 0.000131086 0.000133142 0.000135214 0.000137303 0.000139407 0.000141527 0.000143663 0.000145816 0.000147984 
0.100063 6.80409e-05 6.95613e-05 7.10985e-05 7.26526e-05 7.42234e-05 7.5811e-05 7.74154e-05 7.90367e-05 8.06747e-05 8.23295e-05 8.40011e-05 8.56895e-05 8.73948e-05 8.91168e-05 9.08556e-05 9.26112e-05 9.43837e-05 9.61729e-05 9.79789e-05 9.98017e-05 0.000101641 0.000103498 0.000105371 0.000107261 0.000109168 0.000111091 0.000113032 0.000114989 0.000116963 0.000118954 0.000120962 0.000122986 0.000125027 0.000127085 0.00012916 0.000131252 0.00013336 0.000135485 0.000137627 0.000139786 0.000141962 0.000144154 0.000146364 0.00014859 0.000150832 0.000153092 0.000155368 
0.125078 6.82932e-05 6.98193e-05 7.13622e-05 7.2922e-05 7.44986e-05 7.60921e-05 7.77025e-05 7.93297e-05 8.09738e-05 8.26348e-05 8.43126e-05 8.60073e-05 8.77188e-05 8.94472e-05 9.11925e-05 9.29546e-05 9.47336e-05 9.65295e-05 9.83422e-05 0.000100172 0.000102018 0.000103882 0.000105762 0.000107659 0.000109573 0.000111503 0.000113451 0.000115416 0.000117397 0.000119395 0.00012141 0.000123442 0.000125491 0.000127557 0.000129639 0.000131738 0.000133855 0.000135988 0.000138138 0.000140305 0.000142488 0.000144689 0.000146906 0.000149141 0.000151392 0.00015366 0.000155945 
0.150094 6.55065e-05 6.69703e-05 6.84503e-05 6.99464e-05 7.14587e-05 7.29872e-05 7.45319e-05 7.60927e-05 7.76697e-05 7.92629e-05 8.08723e-05 8.24978e-05 8.41395e-05 8.57974e-05 8.74714e-05 8.91617e-05 9.08681e-05 9.25906e-05 9.43294e-05 9.60843e-05 9.78554e-05 9.96427e-05 0.000101446 0.000103266 0.000105102 0.000106954 0.000108822 0.000110706 0.000112607 0.000114523 0.000116456 0.000118405 0.00012037 0.000122352 0.000124349 0.000126363 0.000128393 0.000130439 0.000132501 0.00013458 0.000136674 0.000138785 0.000140912 0.000143055 0.000145214 0.00014739 0.000149581 
0.175109 6.62343e-05 6.77143e-05 6.92107e-05 7.07235e-05 7.22526e-05 7.37981e-05 7.53599e-05 7.69381e-05 7.85326e-05 8.01435e-05 8.17707e-05 8.34143e-05 8.50742e-05 8.67505e-05 8.84432e-05 9.01522e-05 9.18776e-05 9.36193e-05 9.53774e-05 9.71518e-05 9.89426e-05 0.00010075 0.000102573 0.000104413 0.000106269 0.000108142 0.000110031 0.000111936 0.000113858 0.000115795 0.00011775 0.00011972 0.000121708 0.000123711 0.000125731 0.000127767 0.000129819 0.000131888 0.000133973 0.000136075 0.000138192 0.000140327 0.000142477 0.000144644 0.000146827 0.000149027 0.000151243 
0.200125 6.38411e-05 6.52676e-05 6.671e-05 6.81681e-05 6.96419e-05 7.11316e-05 7.2637e-05 7.41581e-05 7.5695e-05 7.72477e-05 7.88161e-05 8.04003e-05 8.20003e-05 8.3616e-05 8.52475e-05 8.68948e-05 8.85578e-05 9.02366e-05 9.19312e-05 9.36415e-05 9.53675e-05 9.71094e-05 9.8867e-05 0.00010064 0.000102429 0.000104234 0.000106055 0.000107891 0.000109744 0.000111612 0.000113495 0.000115395 0.00011731 0.000119241 0.000121188 0.00012315 0.000125129 0.000127123 0.000129132 0.000131158 0.000133199 0.000135256 0.000137329 0.000139418 0.000141522 0.000143642 0.000145778 
0.225141 6.87704e-05 7.03072e-05 7.18609e-05 7.34316e-05 7.50192e-05 7.66239e-05 7.82455e-05 7.98841e-05 8.15397e-05 8.32122e-05 8.49018e-05 8.66083e-05 8.83318e-05 9.00723e-05 9.18298e-05 9.36042e-05 9.53957e-05 9.72041e-05 9.90294e-05 0.000100872 0.000102731 0.000104607 0.000106501 0.000108411 0.000110338 0.000112283 0.000114244 0.000116222 0.000118217 0.000120229 0.000122259 0.000124305 0.000126368 0.000128448 0.000130545 0.000132659 0.00013479 0.000136938 0.000139103 0.000141285 0.000143484 0.0001457 0.000147933 0.000150183 0.00015245 0.000154734 0.000157034 
