T 18F 18.2F 18.4F 18.6F 18.8F 19F 19.2F 19.4F 19.6F 19.8F 20F 20.2F 20.4F 20.6F 20.8F 21F 21.2F 21.4F 21.6F 21.8F 22F 22.2F 22.4F 22.6F 22.8F 23F 23.2F 23.4F 23.6F 23.8F 24F 24.2F 24.4F 24.6F 24.8F 25F 25.2F 25.4F 25.6F 25.8F 26F 26.2F 26.4F 26.6F 26.8F 27F 27.2F 
0 1.63624e-05 1.6728e-05 1.70977e-05 1.74714e-05 1.78492e-05 1.8231e-05 1.86168e-05 1.90067e-05 1.94006e-05 1.97985e-05 2.02005e-05 2.06065e-05 2.10166e-05 2.14307e-05 2.18489e-05 2.22711e-05 2.26973e-05 2.31276e-05 2.35619e-05 2.40002e-05 2.44426e-05 2.48891e-05 2.53395e-05 2.5794e-05 2.62526e-05 2.67152e-05 2.71818e-05 2.76525e-05 2.81272e-05 2.86059e-05 2.90887e-05 2.95756e-05 3.00664e-05 3.05614e-05 3.10603e-05 3.15633e-05 3.20703e-05 3.25814e-05 3.30965e-05 3.36157e-05 3.41389e-05 3.46661e-05 3.51974e-05 3.57327e-05 3.6272e-05 3.68154e-05 3.73629e-05 
0.0250156 1.54508e-05 1.57961e-05 1.61451e-05 1.6498e-05 1.68547e-05 1.72152e-05 1.75796e-05 1.79477e-05 1.83197e-05 1.86955e-05 1.90751e-05 1.94585e-05 1.98457e-05 2.02367e-05 2.06316e-05 2.10302e-05 2.14327e-05 2.1839e-05 2.22491e-05 2.26631e-05 2.30808e-05 2.35024e-05 2.39277e-05 2.43569e-05 2.47899e-05 2.52268e-05 2.56674e-05 2.61118e-05 2.65601e-05 2.70122e-05 2.74681e-05 2.79278e-05 2.83913e-05 2.88586e-05 2.93298e-05 2.98048e-05 3.02836e-05 3.07662e-05 3.12526e-05 3.17428e-05 3.22368e-05 3.27347e-05 3.32364e-05 3.37419e-05 3.42512e-05 3.47643e-05 3.52812e-05 
0.0500313 1.58164e-05 1.61698e-05 1.65272e-05 1.68884e-05 1.72535e-05 1.76226e-05 1.79955e-05 1.83724e-05 1.87532e-05 1.91378e-05 1.95264e-05 1.99189e-05 2.03153e-05 2.07156e-05 2.11198e-05 2.15279e-05 2.19399e-05 2.23558e-05 2.27756e-05 2.31993e-05 2.3627e-05 2.40585e-05 2.44939e-05 2.49333e-05 2.53765e-05 2.58237e-05 2.62747e-05 2.67297e-05 2.71886e-05 2.76514e-05 2.8118e-05 2.85886e-05 2.90631e-05 2.95415e-05 3.00238e-05 3.051e-05 3.10001e-05 3.14942e-05 3.19921e-05 3.24939e-05 3.29996e-05 3.35093e-05 3.40228e-05 3.45403e-05 3.50616e-05 3.55869e-05 3.61161e-05 
0.0750469 1.49554e-05 1.52896e-05 1.56275e-05 1.59691e-05 1.63144e-05 1.66633e-05 1.7016e-05 1.73723e-05 1.77323e-05 1.80961e-05 1.84635e-05 1.88346e-05 1.92094e-05 1.95879e-05 1.99701e-05 2.0356e-05 2.07456e-05 2.11389e-05 2.15358e-05 2.19365e-05 2.23408e-05 2.27489e-05 2.31606e-05 2.3576e-05 2.39952e-05 2.4418e-05 2.48445e-05 2.52747e-05 2.57086e-05 2.61462e-05 2.65874e-05 2.70324e-05 2.74811e-05 2.79334e-05 2.83895e-05 2.88492e-05 2.93127e-05 2.97798e-05 3.02506e-05 3.07251e-05 3.12033e-05 3.16852e-05 3.21708e-05 3.26601e-05 3.31531e-05 3.36497e-05 3.41501e-05 
0.100063 1.57017e-05 1.60526e-05 1.64074e-05 1.6766e-05 1.71285e-05 1.74948e-05 1.78651e-05 1.82392e-05 1.86172e-05 1.89991e-05 1.93849e-05 1.97745e-05 2.0168e-05 2.05654e-05 2.09667e-05 2.13718e-05 2.17808e-05 2.21937e-05 2.26105e-05 2.30312e-05 2.34557e-05 2.38841e-05 2.43164e-05 2.47525e-05 2.51926e-05 2.56365e-05 2.60843e-05 2.6536e-05 2.69915e-05 2.74509e-05 2.79142e-05 2.83814e-05 2.88524e-05 2.93274e-05 2.98062e-05 3.02889e-05 3.07754e-05 3.12659e-05 3.17602e-05 3.22584e-05 3.27604e-05 3.32664e-05 3.37762e-05 3.42899e-05 3.48075e-05 3.53289e-05 3.58543e-05 
0.125078 1.576e-05 1.61121e-05 1.64682e-05 1.68281e-05 1.7192e-05 1.75597e-05 1.79313e-05 1.83069e-05 1.86863e-05 1.90696e-05 1.94568e-05 1.98478e-05 2.02428e-05 2.06417e-05 2.10444e-05 2.14511e-05 2.18616e-05 2.2276e-05 2.26944e-05 2.31166e-05 2.35427e-05 2.39727e-05 2.44066e-05 2.48443e-05 2.5286e-05 2.57316e-05 2.6181e-05 2.66344e-05 2.70916e-05 2.75527e-05 2.80177e-05 2.84866e-05 2.89594e-05 2.94361e-05 2.99167e-05 3.04012e-05 3.08895e-05 3.13818e-05 3.18779e-05 3.2378e-05 3.28819e-05 3.33897e-05 3.39014e-05 3.44171e-05 3.49365e-05 3.54599e-05 3.59872e-05 
0.150094 1.51169e-05 1.54547e-05 1.57962e-05 1.61415e-05 1.64905e-05 1.68432e-05 1.71997e-05 1.75599e-05 1.79238e-05 1.82914e-05 1.86628e-05 1.9038e-05 1.94168e-05 1.97994e-05 2.01857e-05 2.05758e-05 2.09696e-05 2.13671e-05 2.17683e-05 2.21733e-05 2.2582e-05 2.29945e-05 2.34107e-05 2.38306e-05 2.42542e-05 2.46816e-05 2.51127e-05 2.55475e-05 2.59861e-05 2.64284e-05 2.68745e-05 2.73242e-05 2.77778e-05 2.8235e-05 2.8696e-05 2.91607e-05 2.96291e-05 3.01013e-05 3.05772e-05 3.10568e-05 3.15402e-05 3.20273e-05 3.25181e-05 3.30127e-05 3.3511e-05 3.4013e-05 3.45188e-05 
0.175109 1.52848e-05 1.56264e-05 1.59717e-05 1.63208e-05 1.66737e-05 1.70303e-05 1.73907e-05 1.77549e-05 1.81229e-05 1.84946e-05 1.88702e-05 1.92495e-05 1.96325e-05 2.00194e-05 2.041e-05 2.08044e-05 2.12025e-05 2.16044e-05 2.20102e-05 2.24196e-05 2.28329e-05 2.32499e-05 2.36707e-05 2.40953e-05 2.45237e-05 2.49558e-05 2.53917e-05 2.58314e-05 2.62748e-05 2.6722e-05 2.7173e-05 2.76278e-05 2.80864e-05 2.85487e-05 2.90148e-05 2.94846e-05 2.99583e-05 3.04357e-05 3.09169e-05 3.14018e-05 3.18906e-05 3.23831e-05 3.28794e-05 3.33794e-05 3.38833e-05 3.43909e-05 3.49023e-05 
0.200125 1.47326e-05 1.50618e-05 1.53946e-05 1.57311e-05 1.60712e-05 1.6415e-05 1.67624e-05 1.71134e-05 1.74681e-05 1.78264e-05 1.81883e-05 1.85539e-05 1.89231e-05 1.9296e-05 1.96725e-05 2.00526e-05 2.04364e-05 2.08238e-05 2.12149e-05 2.16096e-05 2.20079e-05 2.24099e-05 2.28155e-05 2.32247e-05 2.36376e-05 2.40541e-05 2.44742e-05 2.4898e-05 2.53254e-05 2.57565e-05 2.61912e-05 2.66295e-05 2.70715e-05 2.75171e-05 2.79664e-05 2.84193e-05 2.88758e-05 2.9336e-05 2.97998e-05 3.02672e-05 3.07383e-05 3.1213e-05 3.16914e-05 3.21734e-05 3.2659e-05 3.31483e-05 3.36412e-05 
0.225141 1.58701e-05 1.62247e-05 1.65833e-05 1.69457e-05 1.73121e-05 1.76824e-05 1.80567e-05 1.84348e-05 1.88168e-05 1.92028e-05 1.95927e-05 1.99865e-05 2.03843e-05 2.07859e-05 2.11915e-05 2.1601e-05 2.20144e-05 2.24317e-05 2.28529e-05 2.32781e-05 2.37072e-05 2.41402e-05 2.45771e-05 2.50179e-05 2.54627e-05 2.59114e-05 2.6364e-05 2.68205e-05 2.72809e-05 2.77453e-05 2.82135e-05 2.86857e-05 2.91618e-05 2.96418e-05 3.01258e-05 3.06136e-05 3.11054e-05 3.16011e-05 3.21007e-05 3.26042e-05 3.31117e-05 3.36231e-05 3.41384e-05 3.46576e-05 3.51807e-05 3.57077e-05 3.62387e-05 
