T 18F 18.2F 18.4F 18.6F 18.8F 19F 19.2F 19.4F 19.6F 19.8F 20F 20.2F 20.4F 20.6F 20.8F 21F 21.2F 21.4F 21.6F 21.8F 22F 22.2F 22.4F 22.6F 22.8F 23F 23.2F 23.4F 23.6F 23.8F 24F 24.2F 24.4F 24.6F 24.8F 25F 25.2F 25.4F 25.6F 25.8F 26F 26.2F 26.4F 26.6F 26.8F 27F 27.2F 
0 5.99955e-05 6.13362e-05 6.26916e-05 6.40619e-05 6.5447e-05 6.68469e-05 6.82616e-05 6.96911e-05 7.11354e-05 7.25946e-05 7.40685e-05 7.55573e-05 7.70609e-05 7.85793e-05 8.01125e-05 8.16606e-05 8.32234e-05 8.48011e-05 8.63935e-05 8.80008e-05 8.96229e-05 9.12599e-05 9.29116e-05 9.45781e-05 9.62595e-05 9.79556e-05 9.96666e-05 0.000101392 0.000103133 0.000104888 0.000106659 0.000108444 0.000110244 0.000112058 0.000113888 0.000115732 0.000117591 0.000119465 0.000121354 0.000123257 0.000125176 0.000127109 0.000129057 0.00013102 0.000132997 0.00013499 0.000136997 
0.0250156 5.66529e-05 5.79189e-05 5.91988e-05 6.04927e-05 6.18006e-05 6.31225e-05 6.44584e-05 6.58083e-05 6.71722e-05 6.855e-05 6.99419e-05 7.13477e-05 7.27675e-05 7.42013e-05 7.56491e-05 7.71109e-05 7.85867e-05 8.00764e-05 8.15802e-05 8.30979e-05 8.46297e-05 8.61754e-05 8.77351e-05 8.93088e-05 9.08964e-05 9.24981e-05 9.41138e-05 9.57434e-05 9.73871e-05 9.90447e-05 0.000100716 0.000102402 0.000104101 0.000105815 0.000107543 0.000109284 0.00011104 0.000112809 0.000114593 0.00011639 0.000118202 0.000120027 0.000121867 0.00012372 0.000125588 0.000127469 0.000129364 
0.0500313 5.79935e-05 5.92894e-05 6.05996e-05 6.19241e-05 6.3263e-05 6.46162e-05 6.59837e-05 6.73655e-05 6.87616e-05 7.01721e-05 7.15969e-05 7.3036e-05 7.44894e-05 7.59571e-05 7.74392e-05 7.89355e-05 8.04462e-05 8.19712e-05 8.35106e-05 8.50642e-05 8.66322e-05 8.82145e-05 8.98111e-05 9.1422e-05 9.30473e-05 9.46868e-05 9.63407e-05 9.80089e-05 9.96915e-05 0.000101388 0.000103099 0.000104825 0.000106565 0.000108319 0.000110087 0.00011187 0.000113667 0.000115479 0.000117304 0.000119144 0.000120999 0.000122867 0.00012475 0.000126648 0.000128559 0.000130485 0.000132426 
0.0750469 5.48366e-05 5.6062e-05 5.73009e-05 5.85533e-05 5.98193e-05 6.10988e-05 6.23919e-05 6.36985e-05 6.50186e-05 6.63523e-05 6.76995e-05 6.90603e-05 7.04346e-05 7.18224e-05 7.32238e-05 7.46387e-05 7.60672e-05 7.75092e-05 7.89647e-05 8.04338e-05 8.19164e-05 8.34126e-05 8.49223e-05 8.64455e-05 8.79823e-05 8.95326e-05 9.10965e-05 9.26739e-05 9.42648e-05 9.58693e-05 9.74873e-05 9.91189e-05 0.000100764 0.000102423 0.000104095 0.00010578 0.00010748 0.000109193 0.000110919 0.000112659 0.000114412 0.000116179 0.00011796 0.000119754 0.000121561 0.000123382 0.000125217 
0.100063 5.75731e-05 5.88596e-05 6.01603e-05 6.14752e-05 6.28044e-05 6.41478e-05 6.55054e-05 6.68772e-05 6.82632e-05 6.96634e-05 7.10779e-05 7.25065e-05 7.39494e-05 7.54065e-05 7.68778e-05 7.83634e-05 7.98631e-05 8.13771e-05 8.29052e-05 8.44476e-05 8.60042e-05 8.7575e-05 8.91601e-05 9.07593e-05 9.23728e-05 9.40005e-05 9.56424e-05 9.72985e-05 9.89688e-05 0.000100653 0.000102352 0.000104065 0.000105792 0.000107534 0.000109289 0.000111059 0.000112843 0.000114641 0.000116454 0.000118281 0.000120122 0.000121977 0.000123846 0.00012573 0.000127627 0.000129539 0.000131466 
0.125078 5.77866e-05 5.90778e-05 6.03834e-05 6.17032e-05 6.30373e-05 6.43856e-05 6.57483e-05 6.71252e-05 6.85163e-05 6.99217e-05 7.13414e-05 7.27754e-05 7.42236e-05 7.56861e-05 7.71629e-05 7.86539e-05 8.01592e-05 8.16788e-05 8.32126e-05 8.47608e-05 8.63231e-05 8.78998e-05 8.94907e-05 9.10959e-05 9.27153e-05 9.4349e-05 9.5997e-05 9.76593e-05 9.93358e-05 0.000101027 0.000102732 0.000104451 0.000106185 0.000107932 0.000109695 0.000111471 0.000113262 0.000115067 0.000116886 0.000118719 0.000120567 0.000122429 0.000124305 0.000126196 0.000128101 0.00013002 0.000131953 
0.150094 5.54286e-05 5.66672e-05 5.79195e-05 5.91854e-05 6.04651e-05 6.17584e-05 6.30654e-05 6.43861e-05 6.57205e-05 6.70686e-05 6.84304e-05 6.98058e-05 7.1195e-05 7.25978e-05 7.40143e-05 7.54445e-05 7.68884e-05 7.83459e-05 7.98172e-05 8.13021e-05 8.28008e-05 8.43131e-05 8.58391e-05 8.73787e-05 8.89321e-05 9.04992e-05 9.20799e-05 9.36743e-05 9.52825e-05 9.69042e-05 9.85397e-05 0.000100189 0.000101852 0.000103528 0.000105219 0.000106922 0.00010864 0.000110371 0.000112116 0.000113875 0.000115647 0.000117433 0.000119233 0.000121046 0.000122874 0.000124714 0.000126569 
0.175109 5.60444e-05 5.72967e-05 5.85629e-05 5.98429e-05 6.11368e-05 6.24445e-05 6.37661e-05 6.51014e-05 6.64506e-05 6.78137e-05 6.91906e-05 7.05813e-05 7.19859e-05 7.34043e-05 7.48365e-05 7.62826e-05 7.77426e-05 7.92163e-05 8.07039e-05 8.22053e-05 8.37206e-05 8.52497e-05 8.67927e-05 8.83495e-05 8.99201e-05 9.15046e-05 9.31029e-05 9.4715e-05 9.6341e-05 9.79808e-05 9.96345e-05 0.000101302 0.000102983 0.000104678 0.000106387 0.00010811 0.000109847 0.000111598 0.000113362 0.00011514 0.000116932 0.000118738 0.000120558 0.000122391 0.000124239 0.0001261 0.000127975 
0.200125 5.40194e-05 5.52265e-05 5.64469e-05 5.76807e-05 5.89278e-05 6.01883e-05 6.1462e-05 6.27492e-05 6.40496e-05 6.53634e-05 6.66906e-05 6.80311e-05 6.93849e-05 7.0752e-05 7.21325e-05 7.35264e-05 7.49335e-05 7.6354e-05 7.77879e-05 7.92351e-05 8.06956e-05 8.21695e-05 8.36567e-05 8.51572e-05 8.66711e-05 8.81983e-05 8.97388e-05 9.12927e-05 9.286e-05 9.44405e-05 9.60344e-05 9.76417e-05 9.92623e-05 0.000100896 0.000102543 0.000104204 0.000105878 0.000107565 0.000109266 0.00011098 0.000112707 0.000114448 0.000116202 0.000117969 0.00011975 0.000121544 0.000123351 
0.225141 5.81904e-05 5.94907e-05 6.08054e-05 6.21344e-05 6.34778e-05 6.48356e-05 6.62077e-05 6.75942e-05 6.89951e-05 7.04104e-05 7.184e-05 7.3284e-05 7.47423e-05 7.6215e-05 7.77021e-05 7.92036e-05 8.07194e-05 8.22496e-05 8.37941e-05 8.53531e-05 8.69264e-05 8.8514e-05 9.01161e-05 9.17325e-05 9.33632e-05 9.50084e-05 9.66679e-05 9.83417e-05 0.00010003 0.000101733 0.00010345 0.000105181 0.000106927 0.000108687 0.000110461 0.00011225 0.000114053 0.000115871 0.000117703 0.000119549 0.00012141 0.000123285 0.000125174 0.000127078 0.000128996 0.000130928 0.000132875 
