T 18F 18.2F 18.4F 18.6F 18.8F 19F 19.2F 19.4F 19.6F 19.8F 20F 20.2F 20.4F 20.6F 20.8F 21F 21.2F 21.4F 21.6F 21.8F 22F 22.2F 22.4F 22.6F 22.8F 23F 23.2F 23.4F 23.6F 23.8F 24F 24.2F 24.4F 24.6F 24.8F 25F 25.2F 25.4F 25.6F 25.8F 26F 26.2F 26.4F 26.6F 26.8F 27F 27.2F 
0 0.000211809 0.000216542 0.000221327 0.000226165 0.000231055 0.000235997 0.000240991 0.000246038 0.000251137 0.000256289 0.000261492 0.000266748 0.000272057 0.000277417 0.00028283 0.000288295 0.000293813 0.000299383 0.000305005 0.000310679 0.000316406 0.000322185 0.000328016 0.000333899 0.000339835 0.000345824 0.000351864 0.000357957 0.000364102 0.000370299 0.000376549 0.000382851 0.000389205 0.000395612 0.000402071 0.000408582 0.000415145 0.000421761 0.000428429 0.000435149 0.000441922 0.000448747 0.000455624 0.000462554 0.000469536 0.00047657 0.000483656 
0.0250156 0.000199612 0.000204073 0.000208583 0.000213142 0.00021775 0.000222408 0.000227115 0.000231871 0.000236676 0.000241531 0.000246435 0.000251388 0.000256391 0.000261443 0.000266544 0.000271695 0.000276894 0.000282143 0.000287442 0.000292789 0.000298186 0.000303633 0.000309128 0.000314673 0.000320267 0.00032591 0.000331603 0.000337345 0.000343136 0.000348977 0.000354866 0.000360806 0.000366794 0.000372832 0.000378919 0.000385055 0.00039124 0.000397475 0.000403759 0.000410093 0.000416475 0.000422907 0.000429388 0.000435919 0.000442499 0.000449128 0.000455806 
0.0500313 0.000212854 0.000217611 0.00022242 0.000227281 0.000232195 0.000237162 0.000242181 0.000247253 0.000252377 0.000257554 0.000262783 0.000268065 0.0002734 0.000278787 0.000284226 0.000289719 0.000295263 0.000300861 0.00030651 0.000312213 0.000317968 0.000323775 0.000329635 0.000335548 0.000341513 0.000347531 0.000353601 0.000359724 0.000365899 0.000372127 0.000378408 0.000384741 0.000391127 0.000397565 0.000404056 0.000410599 0.000417195 0.000423843 0.000430544 0.000437298 0.000444104 0.000450962 0.000457874 0.000464837 0.000471854 0.000478923 0.000486044 
0.0750469 0.000206594 0.000211211 0.000215878 0.000220597 0.000225366 0.000230187 0.000235059 0.000239981 0.000244955 0.000249979 0.000255055 0.000260181 0.000265359 0.000270588 0.000275867 0.000281198 0.00028658 0.000292012 0.000297496 0.000303031 0.000308616 0.000314253 0.000319941 0.00032568 0.000331469 0.00033731 0.000343202 0.000349145 0.000355138 0.000361183 0.000367279 0.000373426 0.000379624 0.000385873 0.000392172 0.000398523 0.000404925 0.000411378 0.000417882 0.000424437 0.000431043 0.0004377 0.000444408 0.000451167 0.000457977 0.000464838 0.000471749 
0.100063 0.000203067 0.000207605 0.000212192 0.00021683 0.000221518 0.000226257 0.000231045 0.000235884 0.000240772 0.000245711 0.0002507 0.000255739 0.000260828 0.000265968 0.000271157 0.000276397 0.000281686 0.000287026 0.000292416 0.000297857 0.000303347 0.000308887 0.000314478 0.000320119 0.00032581 0.000331551 0.000337342 0.000343183 0.000349075 0.000355016 0.000361008 0.00036705 0.000373142 0.000379284 0.000385476 0.000391719 0.000398011 0.000404354 0.000410747 0.00041719 0.000423683 0.000430226 0.00043682 0.000443463 0.000450157 0.000456901 0.000463695 
0.125078 0.000210228 0.000214925 0.000219675 0.000224476 0.00022933 0.000234235 0.000239192 0.000244201 0.000249263 0.000254375 0.00025954 0.000264757 0.000270026 0.000275346 0.000280719 0.000286143 0.00029162 0.000297148 0.000302728 0.00030836 0.000314044 0.00031978 0.000325567 0.000331407 0.000337299 0.000343242 0.000349237 0.000355285 0.000361384 0.000367535 0.000373738 0.000379993 0.0003863 0.000392659 0.000399069 0.000405532 0.000412046 0.000418613 0.000425231 0.000431901 0.000438623 0.000445397 0.000452223 0.000459101 0.000466031 0.000473012 0.000480046 
0.150094 0.00020472 0.000209295 0.00021392 0.000218595 0.000223322 0.000228098 0.000232926 0.000237804 0.000242732 0.000247711 0.000252741 0.000257821 0.000262951 0.000268133 0.000273364 0.000278647 0.000283979 0.000289363 0.000294797 0.000300281 0.000305816 0.000311402 0.000317038 0.000322725 0.000328462 0.00033425 0.000340088 0.000345977 0.000351916 0.000357906 0.000363947 0.000370038 0.000376179 0.000382371 0.000388614 0.000394907 0.000401251 0.000407645 0.00041409 0.000420586 0.000427132 0.000433728 0.000440375 0.000447073 0.000453821 0.00046062 0.000467469 
0.175109 0.000207873 0.000212518 0.000217214 0.000221962 0.000226761 0.000231611 0.000236513 0.000241466 0.00024647 0.000251526 0.000256633 0.000261791 0.000267001 0.000272262 0.000277574 0.000282938 0.000288353 0.000293819 0.000299337 0.000304905 0.000310526 0.000316197 0.00032192 0.000327694 0.00033352 0.000339397 0.000345325 0.000351305 0.000357336 0.000363418 0.000369551 0.000375736 0.000381972 0.00038826 0.000394599 0.000400989 0.00040743 0.000413923 0.000420467 0.000427063 0.000433709 0.000440408 0.000447157 0.000453958 0.00046081 0.000467713 0.000474668 
0.200125 0.000194158 0.000198497 0.000202883 0.000207318 0.0002118 0.00021633 0.000220909 0.000225535 0.000230209 0.000234931 0.000239701 0.000244519 0.000249385 0.000254299 0.000259261 0.000264271 0.000269328 0.000274434 0.000279587 0.000284789 0.000290038 0.000295336 0.000300681 0.000306074 0.000311516 0.000317005 0.000322542 0.000328127 0.00033376 0.000339441 0.00034517 0.000350946 0.000356771 0.000362644 0.000368565 0.000374533 0.00038055 0.000386614 0.000392726 0.000398887 0.000405095 0.000411351 0.000417655 0.000424007 0.000430407 0.000436855 0.000443351 
0.225141 0.000205782 0.00021038 0.000215029 0.000219729 0.00022448 0.000229281 0.000234134 0.000239037 0.000243991 0.000248996 0.000254051 0.000259158 0.000264315 0.000269523 0.000274782 0.000280092 0.000285452 0.000290864 0.000296326 0.000301839 0.000307402 0.000313017 0.000318682 0.000324398 0.000330165 0.000335983 0.000341852 0.000347771 0.000353741 0.000359762 0.000365834 0.000371957 0.00037813 0.000384355 0.00039063 0.000396955 0.000403332 0.00040976 0.000416238 0.000422767 0.000429347 0.000435978 0.000442659 0.000449392 0.000456175 0.000463009 0.000469894 
0.250156 0.000199682 0.000204144 0.000208655 0.000213216 0.000217826 0.000222485 0.000227194 0.000231952 0.000236759 0.000241615 0.000246521 0.000251476 0.000256481 0.000261534 0.000266637 0.000271789 0.000276991 0.000282242 0.000287542 0.000292892 0.00029829 0.000303739 0.000309236 0.000314783 0.000320379 0.000326024 0.000331719 0.000337463 0.000343256 0.000349098 0.00035499 0.000360932 0.000366922 0.000372962 0.000379051 0.000385189 0.000391377 0.000397614 0.0004039 0.000410236 0.000416621 0.000423055 0.000429538 0.000436071 0.000442653 0.000449285 0.000455965 
0.275172 0.000198135 0.000202563 0.000207039 0.000211564 0.000216138 0.000220762 0.000225434 0.000230155 0.000234925 0.000239743 0.000244611 0.000249528 0.000254493 0.000259508 0.000264571 0.000269684 0.000274845 0.000280055 0.000285315 0.000290623 0.00029598 0.000301385 0.00030684 0.000312344 0.000317897 0.000323498 0.000329149 0.000334848 0.000340597 0.000346394 0.00035224 0.000358135 0.000364079 0.000370072 0.000376114 0.000382205 0.000388345 0.000394533 0.000400771 0.000407058 0.000413393 0.000419777 0.000426211 0.000432693 0.000439224 0.000445804 0.000452433 
