T 18F 18.2F 18.4F 18.6F 18.8F 19F 19.2F 19.4F 19.6F 19.8F 20F 20.2F 20.4F 20.6F 20.8F 21F 21.2F 21.4F 21.6F 21.8F 22F 22.2F 22.4F 22.6F 22.8F 23F 23.2F 23.4F 23.6F 23.8F 24F 24.2F 24.4F 24.6F 24.8F 25F 25.2F 25.4F 25.6F 25.8F 26F 26.2F 26.4F 26.6F 26.8F 27F 27.2F 
0 3.27248e-05 3.34561e-05 3.41954e-05 3.49428e-05 3.56983e-05 3.64619e-05 3.72336e-05 3.80133e-05 3.88011e-05 3.9597e-05 4.0401e-05 4.12131e-05 4.20332e-05 4.28614e-05 4.36977e-05 4.45421e-05 4.53946e-05 4.62551e-05 4.71238e-05 4.80005e-05 4.88852e-05 4.97781e-05 5.0679e-05 5.15881e-05 5.25052e-05 5.34304e-05 5.43636e-05 5.5305e-05 5.62544e-05 5.72119e-05 5.81775e-05 5.91511e-05 6.01329e-05 6.11227e-05 6.21206e-05 6.31266e-05 6.41407e-05 6.51628e-05 6.6193e-05 6.72313e-05 6.82777e-05 6.93322e-05 7.03947e-05 7.14654e-05 7.25441e-05 7.36309e-05 7.47257e-05 
0.0250156 3.09016e-05 3.15921e-05 3.22903e-05 3.2996e-05 3.37094e-05 3.44305e-05 3.51591e-05 3.58954e-05 3.66394e-05 3.73909e-05 3.81501e-05 3.89169e-05 3.96914e-05 4.04734e-05 4.12632e-05 4.20605e-05 4.28655e-05 4.36781e-05 4.44983e-05 4.53261e-05 4.61616e-05 4.70047e-05 4.78555e-05 4.87139e-05 4.95799e-05 5.04535e-05 5.13348e-05 5.22237e-05 5.31202e-05 5.40244e-05 5.49362e-05 5.58556e-05 5.67826e-05 5.77173e-05 5.86596e-05 5.96095e-05 6.05671e-05 6.15323e-05 6.25051e-05 6.34856e-05 6.44737e-05 6.54694e-05 6.64727e-05 6.74837e-05 6.85023e-05 6.95286e-05 7.05624e-05 
0.0500313 3.16328e-05 3.23397e-05 3.30543e-05 3.37768e-05 3.45071e-05 3.52452e-05 3.59911e-05 3.67448e-05 3.75063e-05 3.82757e-05 3.90528e-05 3.98378e-05 4.06306e-05 4.14312e-05 4.22395e-05 4.30557e-05 4.38798e-05 4.47116e-05 4.55512e-05 4.63987e-05 4.72539e-05 4.8117e-05 4.89879e-05 4.98666e-05 5.07531e-05 5.16474e-05 5.25495e-05 5.34594e-05 5.43772e-05 5.53027e-05 5.62361e-05 5.71773e-05 5.81262e-05 5.9083e-05 6.00476e-05 6.10201e-05 6.20003e-05 6.29883e-05 6.39842e-05 6.49878e-05 6.59993e-05 6.70186e-05 6.80457e-05 6.90806e-05 7.01233e-05 7.11738e-05 7.22321e-05 
0.0750469 2.99109e-05 3.05793e-05 3.1255e-05 3.19382e-05 3.26287e-05 3.33266e-05 3.40319e-05 3.47446e-05 3.54647e-05 3.61922e-05 3.6927e-05 3.76692e-05 3.84189e-05 3.91759e-05 3.99402e-05 4.0712e-05 4.14912e-05 4.22777e-05 4.30717e-05 4.3873e-05 4.46817e-05 4.54978e-05 4.63212e-05 4.71521e-05 4.79903e-05 4.8836e-05 4.9689e-05 5.05494e-05 5.14172e-05 5.22923e-05 5.31749e-05 5.40648e-05 5.49622e-05 5.58669e-05 5.6779e-05 5.76984e-05 5.86253e-05 5.95596e-05 6.05012e-05 6.14502e-05 6.24066e-05 6.33704e-05 6.43416e-05 6.53202e-05 6.63061e-05 6.72995e-05 6.83002e-05 
0.100063 3.14035e-05 3.21052e-05 3.28147e-05 3.3532e-05 3.42569e-05 3.49897e-05 3.57302e-05 3.64785e-05 3.72345e-05 3.79982e-05 3.87697e-05 3.9549e-05 4.0336e-05 4.11308e-05 4.19334e-05 4.27436e-05 4.35617e-05 4.43875e-05 4.5221e-05 4.60623e-05 4.69114e-05 4.77682e-05 4.86328e-05 4.95051e-05 5.03852e-05 5.1273e-05 5.21686e-05 5.30719e-05 5.3983e-05 5.49018e-05 5.58284e-05 5.67628e-05 5.77049e-05 5.86547e-05 5.96124e-05 6.05777e-05 6.15509e-05 6.25317e-05 6.35204e-05 6.45167e-05 6.55209e-05 6.65328e-05 6.75524e-05 6.85798e-05 6.9615e-05 7.06579e-05 7.17085e-05 
0.125078 3.15199e-05 3.22243e-05 3.29364e-05 3.36563e-05 3.4384e-05 3.51194e-05 3.58627e-05 3.66137e-05 3.73725e-05 3.81391e-05 3.89135e-05 3.96957e-05 4.04856e-05 4.12833e-05 4.20889e-05 4.29021e-05 4.37232e-05 4.45521e-05 4.53887e-05 4.62331e-05 4.70853e-05 4.79453e-05 4.88131e-05 4.96887e-05 5.0572e-05 5.14631e-05 5.2362e-05 5.32687e-05 5.41832e-05 5.51054e-05 5.60355e-05 5.69733e-05 5.79189e-05 5.88722e-05 5.98334e-05 6.08024e-05 6.17791e-05 6.27636e-05 6.37559e-05 6.4756e-05 6.57638e-05 6.67795e-05 6.78029e-05 6.88341e-05 6.98731e-05 7.09199e-05 7.19744e-05 
0.150094 3.02338e-05 3.09094e-05 3.15924e-05 3.2283e-05 3.2981e-05 3.36864e-05 3.43993e-05 3.51197e-05 3.58476e-05 3.65829e-05 3.73257e-05 3.80759e-05 3.88336e-05 3.95988e-05 4.03714e-05 4.11515e-05 4.19391e-05 4.27341e-05 4.35366e-05 4.43466e-05 4.5164e-05 4.59889e-05 4.68213e-05 4.76611e-05 4.85084e-05 4.93632e-05 5.02254e-05 5.10951e-05 5.19722e-05 5.28569e-05 5.37489e-05 5.46485e-05 5.55555e-05 5.647e-05 5.73919e-05 5.83213e-05 5.92582e-05 6.02026e-05 6.11544e-05 6.21136e-05 6.30804e-05 6.40546e-05 6.50362e-05 6.60254e-05 6.7022e-05 6.8026e-05 6.90375e-05 
0.175109 3.05697e-05 3.12528e-05 3.19434e-05 3.26416e-05 3.33474e-05 3.40606e-05 3.47815e-05 3.55099e-05 3.62458e-05 3.69893e-05 3.77403e-05 3.84989e-05 3.9265e-05 4.00387e-05 4.08199e-05 4.16087e-05 4.2405e-05 4.32089e-05 4.40203e-05 4.48393e-05 4.56658e-05 4.64999e-05 4.73415e-05 4.81906e-05 4.90473e-05 4.99116e-05 5.07834e-05 5.16627e-05 5.25496e-05 5.34441e-05 5.43461e-05 5.52556e-05 5.61727e-05 5.70973e-05 5.80295e-05 5.89693e-05 5.99165e-05 6.08714e-05 6.18337e-05 6.28037e-05 6.37811e-05 6.47662e-05 6.57587e-05 6.67589e-05 6.77665e-05 6.87817e-05 6.98045e-05 
0.200125 2.94651e-05 3.01235e-05 3.07892e-05 3.14622e-05 3.21424e-05 3.283e-05 3.35247e-05 3.42268e-05 3.49362e-05 3.56528e-05 3.63767e-05 3.71079e-05 3.78463e-05 3.8592e-05 3.9345e-05 4.01053e-05 4.08728e-05 4.16477e-05 4.24298e-05 4.32191e-05 4.40158e-05 4.48197e-05 4.56309e-05 4.64494e-05 4.72751e-05 4.81082e-05 4.89485e-05 4.9796e-05 5.06509e-05 5.1513e-05 5.23824e-05 5.32591e-05 5.41431e-05 5.50343e-05 5.59328e-05 5.68386e-05 5.77516e-05 5.86719e-05 5.95996e-05 6.05344e-05 6.14766e-05 6.2426e-05 6.33827e-05 6.43467e-05 6.5318e-05 6.62965e-05 6.72823e-05 
0.225141 3.17402e-05 3.24495e-05 3.31666e-05 3.38915e-05 3.46243e-05 3.53649e-05 3.61133e-05 3.68696e-05 3.76337e-05 3.84057e-05 3.91854e-05 3.99731e-05 4.07685e-05 4.15718e-05 4.2383e-05 4.32019e-05 4.40288e-05 4.48634e-05 4.57059e-05 4.65562e-05 4.74144e-05 4.82804e-05 4.91542e-05 5.00359e-05 5.09254e-05 5.18227e-05 5.27279e-05 5.3641e-05 5.45618e-05 5.54905e-05 5.6427e-05 5.73714e-05 5.83236e-05 5.92837e-05 6.02515e-05 6.12273e-05 6.22108e-05 6.32022e-05 6.42014e-05 6.52085e-05 6.62234e-05 6.72461e-05 6.82767e-05 6.93151e-05 7.03614e-05 7.14155e-05 7.24774e-05 
