T 18F 18.2F 18.4F 18.6F 18.8F 19F 19.2F 19.4F 19.6F 19.8F 20F 20.2F 20.4F 20.6F 20.8F 21F 21.2F 21.4F 21.6F 21.8F 22F 22.2F 22.4F 22.6F 22.8F 23F 23.2F 23.4F 23.6F 23.8F 24F 24.2F 24.4F 24.6F 24.8F 25F 25.2F 25.4F 25.6F 25.8F 26F 26.2F 26.4F 26.6F 26.8F 27F 27.2F 
0 2.72707e-05 2.78801e-05 2.84962e-05 2.9119e-05 2.97486e-05 3.03849e-05 3.1028e-05 3.16778e-05 3.23343e-05 3.29975e-05 3.36675e-05 3.43442e-05 3.50277e-05 3.57179e-05 3.64148e-05 3.71184e-05 3.78288e-05 3.85459e-05 3.92698e-05 4.00004e-05 4.07377e-05 4.14818e-05 4.22325e-05 4.29901e-05 4.37543e-05 4.45253e-05 4.5303e-05 4.60875e-05 4.68787e-05 4.76766e-05 4.84812e-05 4.92926e-05 5.01107e-05 5.09356e-05 5.17672e-05 5.26055e-05 5.34506e-05 5.43023e-05 5.51609e-05 5.60261e-05 5.68981e-05 5.77768e-05 5.86623e-05 5.95545e-05 6.04534e-05 6.13591e-05 6.22714e-05 
0.0250156 2.57513e-05 2.63268e-05 2.69085e-05 2.74967e-05 2.80912e-05 2.86921e-05 2.92993e-05 2.99129e-05 3.05328e-05 3.11591e-05 3.17918e-05 3.24308e-05 3.30761e-05 3.37279e-05 3.4386e-05 3.50504e-05 3.57212e-05 3.63984e-05 3.70819e-05 3.77718e-05 3.8468e-05 3.91706e-05 3.98796e-05 4.05949e-05 4.13166e-05 4.20446e-05 4.2779e-05 4.35197e-05 4.42668e-05 4.50203e-05 4.57801e-05 4.65463e-05 4.73189e-05 4.80977e-05 4.8883e-05 4.96746e-05 5.04726e-05 5.12769e-05 5.20876e-05 5.29047e-05 5.37281e-05 5.45578e-05 5.5394e-05 5.62364e-05 5.70853e-05 5.79405e-05 5.8802e-05 
0.0500313 2.63607e-05 2.69497e-05 2.75453e-05 2.81473e-05 2.87559e-05 2.9371e-05 2.99926e-05 3.06207e-05 3.12553e-05 3.18964e-05 3.2544e-05 3.31982e-05 3.38588e-05 3.4526e-05 3.51996e-05 3.58798e-05 3.65665e-05 3.72597e-05 3.79594e-05 3.86656e-05 3.93783e-05 4.00975e-05 4.08232e-05 4.15555e-05 4.22942e-05 4.30395e-05 4.37912e-05 4.45495e-05 4.53143e-05 4.60856e-05 4.68634e-05 4.76477e-05 4.84385e-05 4.92359e-05 5.00397e-05 5.085e-05 5.16669e-05 5.24903e-05 5.33201e-05 5.41565e-05 5.49994e-05 5.58488e-05 5.67047e-05 5.75671e-05 5.84361e-05 5.93115e-05 6.01934e-05 
0.0750469 2.49257e-05 2.54827e-05 2.60458e-05 2.66151e-05 2.71906e-05 2.77722e-05 2.83599e-05 2.89538e-05 2.95539e-05 3.01601e-05 3.07725e-05 3.1391e-05 3.20157e-05 3.26465e-05 3.32835e-05 3.39267e-05 3.4576e-05 3.52314e-05 3.5893e-05 3.65608e-05 3.72347e-05 3.79148e-05 3.8601e-05 3.92934e-05 3.99919e-05 4.06966e-05 4.14075e-05 4.21245e-05 4.28476e-05 4.35769e-05 4.43124e-05 4.5054e-05 4.58018e-05 4.65557e-05 4.73158e-05 4.8082e-05 4.88544e-05 4.9633e-05 5.04177e-05 5.12085e-05 5.20055e-05 5.28087e-05 5.3618e-05 5.44335e-05 5.52551e-05 5.60829e-05 5.69168e-05 
0.100063 2.61696e-05 2.67544e-05 2.73456e-05 2.79433e-05 2.85475e-05 2.91581e-05 2.97752e-05 3.03987e-05 3.10287e-05 3.16652e-05 3.23081e-05 3.29575e-05 3.36134e-05 3.42757e-05 3.49445e-05 3.56197e-05 3.63014e-05 3.69896e-05 3.76842e-05 3.83853e-05 3.90928e-05 3.98068e-05 4.05273e-05 4.12542e-05 4.19876e-05 4.27275e-05 4.34738e-05 4.42266e-05 4.49858e-05 4.57515e-05 4.65237e-05 4.73023e-05 4.80874e-05 4.8879e-05 4.9677e-05 5.04814e-05 5.12924e-05 5.21098e-05 5.29336e-05 5.37639e-05 5.46007e-05 5.5444e-05 5.62937e-05 5.71498e-05 5.80125e-05 5.88816e-05 5.97571e-05 
0.125078 2.62666e-05 2.68536e-05 2.7447e-05 2.80469e-05 2.86533e-05 2.92662e-05 2.98856e-05 3.05114e-05 3.11438e-05 3.17826e-05 3.24279e-05 3.30797e-05 3.3738e-05 3.44028e-05 3.5074e-05 3.57518e-05 3.6436e-05 3.71267e-05 3.78239e-05 3.85276e-05 3.92378e-05 3.99544e-05 4.06776e-05 4.14072e-05 4.21433e-05 4.28859e-05 4.3635e-05 4.43906e-05 4.51526e-05 4.59212e-05 4.66962e-05 4.74777e-05 4.82657e-05 4.90602e-05 4.98612e-05 5.06686e-05 5.14826e-05 5.2303e-05 5.31299e-05 5.39633e-05 5.48032e-05 5.56496e-05 5.65024e-05 5.73618e-05 5.82276e-05 5.90999e-05 5.99787e-05 
0.150094 2.51948e-05 2.57578e-05 2.6327e-05 2.69025e-05 2.74841e-05 2.8072e-05 2.86661e-05 2.92664e-05 2.9873e-05 3.04857e-05 3.11047e-05 3.17299e-05 3.23613e-05 3.2999e-05 3.36429e-05 3.42929e-05 3.49493e-05 3.56118e-05 3.62805e-05 3.69555e-05 3.76367e-05 3.83241e-05 3.90178e-05 3.97176e-05 4.04237e-05 4.1136e-05 4.18545e-05 4.25792e-05 4.33102e-05 4.40474e-05 4.47908e-05 4.55404e-05 4.62963e-05 4.70583e-05 4.78266e-05 4.86011e-05 4.93818e-05 5.01688e-05 5.0962e-05 5.17614e-05 5.2567e-05 5.33788e-05 5.41969e-05 5.50211e-05 5.58516e-05 5.66883e-05 5.75313e-05 
0.175109 2.54747e-05 2.6044e-05 2.66195e-05 2.72013e-05 2.77895e-05 2.83839e-05 2.89846e-05 2.95916e-05 3.02048e-05 3.08244e-05 3.14503e-05 3.20824e-05 3.27209e-05 3.33656e-05 3.40166e-05 3.46739e-05 3.53375e-05 3.60074e-05 3.66836e-05 3.73661e-05 3.80548e-05 3.87499e-05 3.94512e-05 4.01589e-05 4.08728e-05 4.1593e-05 4.23195e-05 4.30523e-05 4.37914e-05 4.45367e-05 4.52884e-05 4.60463e-05 4.68106e-05 4.75811e-05 4.83579e-05 4.9141e-05 4.99305e-05 5.07261e-05 5.15281e-05 5.23364e-05 5.3151e-05 5.39718e-05 5.4799e-05 5.56324e-05 5.64721e-05 5.73181e-05 5.81704e-05 
0.200125 2.45543e-05 2.51029e-05 2.56577e-05 2.62185e-05 2.67854e-05 2.73583e-05 2.79373e-05 2.85223e-05 2.91135e-05 2.97107e-05 3.03139e-05 3.09232e-05 3.15386e-05 3.216e-05 3.27875e-05 3.34211e-05 3.40607e-05 3.47064e-05 3.53581e-05 3.60159e-05 3.66798e-05 3.73498e-05 3.80258e-05 3.87078e-05 3.93959e-05 4.00901e-05 4.07904e-05 4.14967e-05 4.22091e-05 4.29275e-05 4.3652e-05 4.43826e-05 4.51192e-05 4.58619e-05 4.66107e-05 4.73655e-05 4.81263e-05 4.88933e-05 4.96663e-05 5.04454e-05 5.12305e-05 5.20217e-05 5.28189e-05 5.36223e-05 5.44316e-05 5.52471e-05 5.60686e-05 
0.225141 2.64502e-05 2.70412e-05 2.76388e-05 2.82429e-05 2.88535e-05 2.94707e-05 3.00944e-05 3.07247e-05 3.13614e-05 3.20047e-05 3.26545e-05 3.33109e-05 3.39738e-05 3.46432e-05 3.53191e-05 3.60016e-05 3.66906e-05 3.73862e-05 3.80882e-05 3.87969e-05 3.9512e-05 4.02337e-05 4.09618e-05 4.16966e-05 4.24378e-05 4.31856e-05 4.39399e-05 4.47008e-05 4.54682e-05 4.62421e-05 4.70225e-05 4.78095e-05 4.8603e-05 4.9403e-05 5.02096e-05 5.10227e-05 5.18423e-05 5.26685e-05 5.35012e-05 5.43404e-05 5.51862e-05 5.60384e-05 5.68973e-05 5.77626e-05 5.86345e-05 5.95129e-05 6.03978e-05 
