T 18F 18.2F 18.4F 18.6F 18.8F 19F 19.2F 19.4F 19.6F 19.8F 20F 20.2F 20.4F 20.6F 20.8F 21F 21.2F 21.4F 21.6F 21.8F 22F 22.2F 22.4F 22.6F 22.8F 23F 23.2F 23.4F 23.6F 23.8F 24F 24.2F 24.4F 24.6F 24.8F 25F 25.2F 25.4F 25.6F 25.8F 26F 26.2F 26.4F 26.6F 26.8F 27F 27.2F 
0 0.000190315 0.000194568 0.000198867 0.000203214 0.000207608 0.000212048 0.000216536 0.000221071 0.000225652 0.000230281 0.000234957 0.000239679 0.000244449 0.000249266 0.000254129 0.00025904 0.000263997 0.000269002 0.000274054 0.000279152 0.000284298 0.00028949 0.00029473 0.000300016 0.00030535 0.00031073 0.000316158 0.000321632 0.000327154 0.000332722 0.000338338 0.000344 0.00034971 0.000355466 0.000361269 0.00036712 0.000373017 0.000378962 0.000384953 0.000390991 0.000397077 0.000403209 0.000409389 0.000415615 0.000421888 0.000428209 0.000434576 
0.0250156 0.000177549 0.000181516 0.000185527 0.000189582 0.000193681 0.000197824 0.000202011 0.000206241 0.000210516 0.000214834 0.000219196 0.000223602 0.000228051 0.000232545 0.000237082 0.000241663 0.000246288 0.000250957 0.00025567 0.000260426 0.000265227 0.000270071 0.000274959 0.000279891 0.000284867 0.000289886 0.00029495 0.000300057 0.000305208 0.000310403 0.000315642 0.000320925 0.000326251 0.000331621 0.000337035 0.000342493 0.000347995 0.000353541 0.00035913 0.000364764 0.000370441 0.000376162 0.000381927 0.000387735 0.000393588 0.000399484 0.000405424 
0.0500313 0.000188946 0.000193168 0.000197437 0.000201752 0.000206114 0.000210523 0.000214978 0.00021948 0.000224029 0.000228624 0.000233266 0.000237955 0.00024269 0.000247472 0.000252301 0.000257176 0.000262098 0.000267066 0.000272082 0.000277144 0.000282252 0.000287407 0.000292609 0.000297858 0.000303153 0.000308495 0.000313883 0.000319318 0.0003248 0.000330328 0.000335903 0.000341525 0.000347193 0.000352908 0.00035867 0.000364478 0.000370333 0.000376235 0.000382183 0.000388178 0.00039422 0.000400308 0.000406443 0.000412625 0.000418853 0.000425128 0.000431449 
0.0750469 0.00017945 0.000183459 0.000187514 0.000191612 0.000195755 0.000199942 0.000204174 0.000208449 0.00021277 0.000217134 0.000221543 0.000225996 0.000230493 0.000235035 0.00023962 0.000244251 0.000248925 0.000253644 0.000258407 0.000263215 0.000268067 0.000272963 0.000277903 0.000282888 0.000287917 0.00029299 0.000298108 0.00030327 0.000308476 0.000313726 0.000319021 0.000324361 0.000329744 0.000335172 0.000340644 0.00034616 0.000351721 0.000357326 0.000362975 0.000368669 0.000374407 0.000380189 0.000386016 0.000391887 0.000397802 0.000403761 0.000409765 
0.100063 0.000181876 0.00018594 0.000190049 0.000194203 0.000198402 0.000202646 0.000206934 0.000211268 0.000215646 0.00022007 0.000224538 0.000229051 0.000233609 0.000238212 0.00024286 0.000247553 0.000252291 0.000257074 0.000261901 0.000266774 0.000271691 0.000276653 0.00028166 0.000286713 0.00029181 0.000296952 0.000302138 0.00030737 0.000312647 0.000317968 0.000323335 0.000328746 0.000334202 0.000339704 0.00034525 0.000350841 0.000356477 0.000362157 0.000367883 0.000373654 0.000379469 0.00038533 0.000391235 0.000397185 0.00040318 0.000409221 0.000415305 
0.125078 0.000184872 0.000189003 0.000193179 0.000197402 0.00020167 0.000205983 0.000210343 0.000214748 0.000219198 0.000223695 0.000228236 0.000232824 0.000237457 0.000242136 0.000246861 0.000251631 0.000256446 0.000261308 0.000266215 0.000271168 0.000276166 0.00028121 0.0002863 0.000291435 0.000296616 0.000301843 0.000307115 0.000312433 0.000317796 0.000323206 0.00032866 0.000334161 0.000339707 0.000345299 0.000350936 0.000356619 0.000362348 0.000368123 0.000373943 0.000379808 0.00038572 0.000391677 0.000397679 0.000403727 0.000409821 0.000415961 0.000422146 
0.150094 0.00018166 0.00018572 0.000189824 0.000193973 0.000198167 0.000202405 0.000206689 0.000211017 0.000215391 0.000219809 0.000224272 0.00022878 0.000233332 0.00023793 0.000242572 0.00024726 0.000251992 0.000256769 0.000261591 0.000266457 0.000271369 0.000276325 0.000281327 0.000286373 0.000291464 0.0002966 0.00030178 0.000307006 0.000312276 0.000317591 0.000322951 0.000328356 0.000333806 0.000339301 0.00034484 0.000350425 0.000356054 0.000361728 0.000367447 0.000373211 0.000379019 0.000384873 0.000390771 0.000396714 0.000402703 0.000408735 0.000414813 
0.175109 0.000183698 0.000187802 0.000191953 0.000196148 0.000200389 0.000204675 0.000209007 0.000213384 0.000217806 0.000222274 0.000226787 0.000231346 0.000235949 0.000240599 0.000245293 0.000250033 0.000254818 0.000259649 0.000264525 0.000269446 0.000274413 0.000279425 0.000284482 0.000289585 0.000294733 0.000299926 0.000305165 0.000310449 0.000315779 0.000321153 0.000326574 0.000332039 0.00033755 0.000343106 0.000348708 0.000354355 0.000360047 0.000365785 0.000371568 0.000377397 0.00038327 0.00038919 0.000395154 0.000401164 0.000407219 0.00041332 0.000419466 
0.200125 0.000172225 0.000176073 0.000179964 0.000183898 0.000187874 0.000191892 0.000195954 0.000200057 0.000204203 0.000208392 0.000212623 0.000216897 0.000221213 0.000225572 0.000229973 0.000234417 0.000238904 0.000243432 0.000248004 0.000252618 0.000257274 0.000261973 0.000266715 0.000271499 0.000276325 0.000281194 0.000286106 0.00029106 0.000296057 0.000301096 0.000306178 0.000311302 0.000316468 0.000321678 0.00032693 0.000332224 0.000337561 0.00034294 0.000348362 0.000353826 0.000359333 0.000364883 0.000370475 0.000376109 0.000381786 0.000387506 0.000393268 
0.225141 0.000182957 0.000187045 0.000191179 0.000195357 0.000199581 0.00020385 0.000208164 0.000212524 0.000216928 0.000221378 0.000225873 0.000230413 0.000234998 0.000239628 0.000244304 0.000249025 0.00025379 0.000258602 0.000263458 0.000268359 0.000273306 0.000278298 0.000283335 0.000288417 0.000293544 0.000298717 0.000303934 0.000309197 0.000314505 0.000319858 0.000325257 0.0003307 0.000336189 0.000341723 0.000347302 0.000352926 0.000358595 0.00036431 0.00037007 0.000375875 0.000381725 0.00038762 0.00039356 0.000399546 0.000405577 0.000411653 0.000417774 
