T 18F 18.2F 18.4F 18.6F 18.8F 19F 19.2F 19.4F 19.6F 19.8F 20F 20.2F 20.4F 20.6F 20.8F 21F 21.2F 21.4F 21.6F 21.8F 22F 22.2F 22.4F 22.6F 22.8F 23F 23.2F 23.4F 23.6F 23.8F 24F 24.2F 24.4F 24.6F 24.8F 25F 25.2F 25.4F 25.6F 25.8F 26F 26.2F 26.4F 26.6F 26.8F 27F 27.2F 
0 0.000130207 0.000133117 0.000136059 0.000139033 0.000142039 0.000145077 0.000148147 0.00015125 0.000154384 0.000157551 0.00016075 0.000163981 0.000167244 0.00017054 0.000173867 0.000177227 0.000180619 0.000184043 0.000187499 0.000190987 0.000194507 0.00019806 0.000201645 0.000205261 0.000208911 0.000212592 0.000216305 0.00022005 0.000223828 0.000227638 0.00023148 0.000235354 0.00023926 0.000243198 0.000247169 0.000251172 0.000255206 0.000259273 0.000263373 0.000267504 0.000271667 0.000275863 0.000280091 0.00028435 0.000288642 0.000292967 0.000297323 
0.0250156 0.000123606 0.000126368 0.000129161 0.000131984 0.000134838 0.000137722 0.000140637 0.000143582 0.000146557 0.000149564 0.0001526 0.000155668 0.000158765 0.000161894 0.000165053 0.000168242 0.000171462 0.000174712 0.000177993 0.000181305 0.000184647 0.000188019 0.000191422 0.000194855 0.00019832 0.000201814 0.000205339 0.000208895 0.000212481 0.000216097 0.000219745 0.000223422 0.00022713 0.000230869 0.000234638 0.000238438 0.000242268 0.000246129 0.000250021 0.000253942 0.000257895 0.000261878 0.000265891 0.000269935 0.000274009 0.000278114 0.00028225 
0.0500313 0.000125888 0.000128701 0.000131545 0.00013442 0.000137327 0.000140264 0.000143233 0.000146232 0.000149263 0.000152325 0.000155417 0.000158541 0.000161696 0.000164882 0.000168099 0.000171348 0.000174627 0.000177937 0.000181279 0.000184651 0.000188055 0.00019149 0.000194956 0.000198452 0.00020198 0.000205539 0.00020913 0.000212751 0.000216403 0.000220086 0.000223801 0.000227547 0.000231323 0.000235131 0.00023897 0.00024284 0.000246741 0.000250673 0.000254636 0.00025863 0.000262655 0.000266712 0.000270799 0.000274918 0.000279067 0.000283248 0.00028746 
0.0750469 0.000119643 0.000122317 0.00012502 0.000127753 0.000130515 0.000133306 0.000136128 0.000138978 0.000141859 0.000144769 0.000147708 0.000150677 0.000153675 0.000156703 0.000159761 0.000162848 0.000165965 0.000169111 0.000172287 0.000175492 0.000178727 0.000181991 0.000185285 0.000188608 0.000191961 0.000195344 0.000198756 0.000202198 0.000205669 0.000209169 0.0002127 0.000216259 0.000219849 0.000223467 0.000227116 0.000230794 0.000234501 0.000238238 0.000242005 0.000245801 0.000249627 0.000253482 0.000257366 0.000261281 0.000265225 0.000269198 0.000273201 
0.100063 0.000124888 0.000127679 0.0001305 0.000133353 0.000136236 0.00013915 0.000142095 0.00014507 0.000148077 0.000151114 0.000154183 0.000157282 0.000160412 0.000163572 0.000166764 0.000169986 0.00017324 0.000176524 0.000179839 0.000183184 0.000186561 0.000189968 0.000193407 0.000196876 0.000200376 0.000203907 0.000207468 0.000211061 0.000214684 0.000218338 0.000222023 0.000225739 0.000229485 0.000233263 0.000237071 0.00024091 0.00024478 0.000248681 0.000252613 0.000256575 0.000260569 0.000264593 0.000268648 0.000272734 0.00027685 0.000280998 0.000285176 
0.125078 0.000125438 0.000128241 0.000131075 0.00013394 0.000136836 0.000139763 0.000142721 0.00014571 0.000148729 0.00015178 0.000154862 0.000157975 0.000161118 0.000164293 0.000167499 0.000170735 0.000174003 0.000177301 0.000180631 0.000183992 0.000187383 0.000190805 0.000194259 0.000197743 0.000201259 0.000204805 0.000208382 0.000211991 0.00021563 0.0002193 0.000223001 0.000226733 0.000230497 0.000234291 0.000238116 0.000241972 0.000245859 0.000249777 0.000253726 0.000257706 0.000261717 0.000265759 0.000269832 0.000273935 0.00027807 0.000282236 0.000286433 
0.150094 0.00011993 0.00012261 0.000125319 0.000128058 0.000130827 0.000133626 0.000136454 0.000139311 0.000142198 0.000145115 0.000148062 0.000151038 0.000154043 0.000157079 0.000160143 0.000163238 0.000166362 0.000169516 0.000172699 0.000175912 0.000179154 0.000182427 0.000185728 0.00018906 0.000192421 0.000195811 0.000199232 0.000202681 0.000206161 0.00020967 0.000213209 0.000216777 0.000220375 0.000224002 0.000227659 0.000231346 0.000235063 0.000238808 0.000242584 0.000246389 0.000250224 0.000254088 0.000257982 0.000261906 0.000265859 0.000269842 0.000273855 
0.175109 0.000121463 0.000124177 0.000126921 0.000129696 0.0001325 0.000135334 0.000138198 0.000141092 0.000144016 0.00014697 0.000149955 0.000152969 0.000156013 0.000159087 0.000162191 0.000165325 0.000168489 0.000171683 0.000174907 0.000178161 0.000181445 0.000184759 0.000188103 0.000191477 0.000194881 0.000198315 0.000201779 0.000205273 0.000208797 0.000212351 0.000215934 0.000219548 0.000223192 0.000226866 0.00023057 0.000234304 0.000238068 0.000241862 0.000245685 0.000249539 0.000253423 0.000257337 0.000261281 0.000265255 0.000269258 0.000273292 0.000277356 
0.200125 0.000116797 0.000119407 0.000122046 0.000124713 0.00012741 0.000130135 0.000132889 0.000135672 0.000138484 0.000141324 0.000144194 0.000147092 0.000150019 0.000152975 0.00015596 0.000158974 0.000162016 0.000165087 0.000168188 0.000171317 0.000174474 0.000177661 0.000180877 0.000184121 0.000187394 0.000190696 0.000194027 0.000197387 0.000200775 0.000204193 0.000207639 0.000211114 0.000214618 0.000218151 0.000221712 0.000225303 0.000228922 0.00023257 0.000236247 0.000239953 0.000243687 0.000247451 0.000251243 0.000255064 0.000258914 0.000262793 0.000266701 
0.225141 0.000126391 0.000129215 0.000132071 0.000134958 0.000137876 0.000140825 0.000143805 0.000146817 0.000149859 0.000152933 0.000156039 0.000159175 0.000162342 0.000165541 0.000168771 0.000172032 0.000175325 0.000178648 0.000182003 0.000185389 0.000188807 0.000192255 0.000195735 0.000199246 0.000202788 0.000206361 0.000209965 0.000213601 0.000217268 0.000220966 0.000224695 0.000228456 0.000232248 0.000236071 0.000239925 0.00024381 0.000247727 0.000251675 0.000255653 0.000259664 0.000263705 0.000267778 0.000271881 0.000276017 0.000280183 0.00028438 0.000288609 
